0; 120 992; 120 1016; 144 1016; 144 1031; 153 1031; 153 1007; 129 1007; 128 992
1; 370 979; 343 976; 340 1003; 325 1002; 324 1011; 349 1014; 351 987; 368 988
2; 168 969; 145 981; 134 957; 118 964; 115 955; 139 943; 150 967; 165 960
3; 476 940; 455 957; 472 977; 458 988; 464 997; 486 978; 468 959; 482 947
4; 94 986; 68 979; 74 953; 58 948; 60 939; 86 945; 80 971; 95 976
5; 578 915; 572 940; 546 934; 541 950; 531 947; 539 922; 564 928; 569 912
6; 378 958; 359 937; 380 920; 369 907; 376 901; 395 921; 374 938; 385 952
7; 166 870; 148 892; 128 874; 116 888; 107 882; 126 860; 147 878; 157 864
8; 454 866; 435 845; 416 862; 406 848; 397 854; 414 875; 434 858; 445 872
9; 694 841; 664 836; 658 866; 642 862; 639 873; 668 879; 674 848; 692 852
10; 615 823; 615 847; 639 847; 639 862; 648 862; 648 838; 624 838; 623 823
11; 481 826; 463 848; 442 830; 431 844; 422 838; 441 816; 462 834; 472 820
12; 675 780; 675 806; 701 806; 701 823; 710 823; 710 797; 684 797; 683 780
13; 374 781; 368 806; 343 800; 339 815; 329 813; 336 788; 361 794; 365 779
14; 258 771; 233 769; 231 795; 216 793; 215 803; 239 805; 241 780; 257 781
15; 210 768; 187 756; 176 779; 162 772; 159 780; 181 792; 192 769; 207 776
16; 745 785; 722 785; 722 762; 708 762; 708 754; 731 753; 731 777; 745 777
17; 9 749; -7 767; 11 782; 1 794; 7 800; 24 781; 5 766; 15 755
18; 16 737; 4 762; 29 773; 21 790; 30 794; 43 768; 17 757; 25 741
19; 997 793; 979 773; 960 790; 950 777; 942 783; 959 803; 978 786; 989 799
20; 1007 741; 1001 766; 975 760; 970 776; 960 773; 968 748; 993 754; 998 738
21; 699 773; 674 773; 674 747; 658 747; 658 738; 683 737; 683 764; 699 764
22; 401 731; 382 749; 365 729; 352 740; 346 733; 366 715; 383 735; 395 724
23; 883 680; 856 687; 863 713; 848 719; 849 729; 876 721; 869 694; 886 689
24; 415 656; 388 658; 391 685; 375 686; 376 696; 402 694; 399 667; 416 666
25; 965 688; 940 676; 929 701; 914 693; 910 702; 934 714; 945 689; 961 697
26; 959 676; 951 651; 926 657; 921 641; 913 644; 919 669; 944 663; 949 679
27; 648 658; 630 638; 611 655; 601 641; 593 648; 610 668; 629 651; 640 665
28; 390 590; 379 614; 402 625; 395 641; 404 645; 416 620; 391 609; 399 594
29; 657 594; 630 591; 627 618; 612 617; 611 626; 636 629; 638 602; 655 603
30; 804 574; 794 596; 816 607; 809 622; 817 625; 829 602; 806 591; 813 577
31; 597 578; 580 559; 563 575; 554 562; 546 568; 562 587; 579 571; 589 584
32; 689 568; 672 549; 655 565; 646 552; 638 558; 653 577; 671 561; 681 574
33; 73 573; 49 573; 49 549; 34 549; 34 540; 58 539; 58 564; 73 564
34; 256 525; 234 536; 244 559; 229 565; 234 574; 256 562; 246 539; 261 533
35; 415 522; 390 522; 390 548; 374 548; 374 555; 399 557; 399 532; 415 532
36; 343 520; 339 545; 363 549; 360 564; 369 567; 374 541; 348 537; 352 523
37; 497 505; 474 511; 479 534; 466 539; 467 548; 490 541; 485 518; 499 513
38; 566 534; 542 538; 538 514; 524 517; 521 508; 546 504; 550 528; 563 525
39; 783 530; 759 527; 763 501; 747 498; 748 490; 773 493; 769 519; 784 522
