0; 1027 1025; 1022 1011; 1008 1014; 1005 1005; 1000 1007; 1004 1021; 1018 1018; 1021 1027
1; 779 1020; 761 1029; 753 1011; 741 1016; 738 1010; 757 1001; 765 1019; 776 1014
2; 978 997; 959 999; 961 1017; 950 1018; 951 1025; 969 1023; 967 1005; 979 1004
3; 712 1023; 693 1021; 695 1001; 682 1000; 683 993; 703 995; 701 1015; 713 1016
4; 210 1003; 190 993; 180 1014; 168 1007; 165 1015; 184 1025; 194 1004; 207 1011
5; 867 1015; 849 999; 864 982; 852 972; 857 966; 875 981; 860 998; 872 1008
6; 52 994; 29 985; 37 963; 23 957; 26 949; 49 957; 41 979; 55 985
7; 932 942; 913 958; 929 975; 917 985; 922 993; 941 976; 925 959; 937 949
8; 707 954; 685 943; 675 965; 661 958; 658 966; 679 978; 689 955; 704 962
9; 521 913; 502 929; 518 948; 505 958; 511 966; 530 949; 514 930; 527 920
10; 414 892; 394 909; 411 928; 398 938; 404 947; 424 929; 407 910; 420 899
11; 748 937; 732 919; 750 904; 740 894; 746 888; 762 905; 744 920; 754 931
12; 127 872; 108 879; 115 898; 102 903; 105 911; 124 903; 117 884; 130 879
13; 958 920; 947 899; 969 889; 962 876; 970 873; 980 893; 959 903; 966 917
14; 408 882; 386 871; 376 893; 362 886; 359 894; 380 905; 390 883; 405 890
15; 899 860; 879 877; 896 896; 883 906; 889 915; 909 897; 892 878; 905 867
16; 34 867; 14 857; 6 876; -5 871; -8 877; 10 887; 18 868; 31 873
17; 467 848; 449 845; 446 863; 436 861; 434 867; 451 871; 455 853; 465 855
18; 234 872; 211 863; 219 839; 204 833; 207 825; 231 833; 223 857; 238 863
19; 68 818; 46 828; 56 851; 42 856; 46 865; 68 854; 58 831; 72 826
20; 772 836; 770 811; 744 813; 743 797; 735 798; 736 823; 762 821; 763 837
21; 629 787; 628 810; 605 808; 604 822; 596 821; 598 798; 621 800; 622 786
22; 85 816; 82 792; 59 794; 58 779; 50 780; 52 804; 75 802; 76 817
23; 685 823; 666 806; 682 787; 669 777; 675 770; 694 786; 678 804; 691 815
24; 229 812; 207 801; 217 779; 203 773; 207 765; 229 775; 219 797; 233 803
25; 21 783; 17 759; 40 755; 37 742; 45 740; 48 763; 26 767; 29 781
26; 115 756; 109 736; 89 741; 85 728; 78 730; 83 750; 103 745; 107 758
27; 362 683; 359 706; 382 710; 379 724; 388 726; 392 702; 368 698; 371 685
28; 575 737; 556 716; 577 699; 566 686; 573 680; 592 700; 571 717; 582 731
29; 160 708; 141 691; 157 674; 145 664; 150 657; 169 673; 153 690; 165 700
30; 1000 645; 980 628; 964 647; 953 637; 947 643; 966 660; 981 641; 994 651
31; 683 592; 657 587; 652 613; 638 609; 636 619; 661 623; 665 597; 681 601
32; 42 597; 36 574; 13 579; 8 565; 1 567; 6 590; 29 585; 34 599
33; 251 582; 229 591; 220 568; 205 573; 202 566; 225 557; 234 580; 248 575
34; 607 544; 585 533; 575 555; 562 548; 558 556; 579 567; 589 545; 603 552
35; 484 545; 462 554; 453 531; 439 536; 435 529; 458 520; 467 543; 480 538
36; 136 509; 131 531; 109 526; 105 539; 97 537; 103 515; 125 520; 129 507
37; 780 562; 761 561; 763 540; 750 539; 751 532; 771 533; 769 554; 781 555
38; 749 504; 727 523; 745 544; 730 556; 737 565; 759 545; 741 524; 756 512
39; 997 515; 991 490; 966 496; 962 481; 954 483; 959 508; 984 502; 988 517
40; 363 504; 343 493; 352 472; 338 466; 343 459; 363 468; 354 490; 368 496
41; 506 484; 499 461; 475 466; 471 451; 463 454; 469 477; 492 472; 497 486
42; 112 437; 89 442; 94 465; 81 470; 82 478; 105 472; 100 449; 114 444
43; 35 441; 33 417; 9 419; 8 404; 0 405; 1 429; 25 427; 26 442
44; 672 448; 648 439; 656 415; 641 409; 644 401; 668 409; 660 433; 675 439
45; 898 425; 880 405; 900 388; 889 376; 896 370; 914 389; 894 406; 905 419
46; 393 424; 374 402; 395 384; 384 372; 391 365; 410 386; 389 403; 400 417
47; 34 398; 23 374; 46 363; 39 349; 48 345; 58 368; 36 379; 43 394
48; 864 358; 857 334; 833 340; 829 325; 821 328; 827 352; 850 346; 855 361
49; 223 360; 203 349; 212 327; 198 321; 203 313; 223 323; 214 345; 228 351
50; 637 306; 613 317; 624 341; 608 347; 613 357; 637 345; 626 320; 642 314
51; 423 328; 414 305; 391 313; 386 299; 378 302; 386 325; 408 317; 414 331
52; 758 294; 736 311; 754 331; 740 342; 746 351; 768 333; 750 313; 764 301
53; 91 297; 72 275; 93 257; 82 245; 89 239; 108 259; 87 276; 98 290
54; 56 317; 34 306; 44 282; 29 276; 34 268; 56 278; 46 302; 61 308
55; 78 239; 51 234; 46 261; 32 257; 30 267; 55 272; 60 245; 75 249
