0; 780 1000; 778 1016; 794 1019; 792 1029; 798 1031; 801 1014; 784 1011; 786 1002
1; 1006 1006; 986 996; 976 1017; 964 1010; 961 1018; 980 1028; 990 1007; 1003 1014
2; 362 1021; 355 997; 331 1003; 327 988; 319 991; 325 1015; 348 1009; 353 1024
3; 250 992; 243 969; 220 974; 215 960; 207 962; 213 985; 236 980; 241 994
4; 567 949; 548 965; 564 982; 551 992; 557 1000; 576 983; 560 966; 573 956
5; 726 940; 725 963; 748 965; 747 980; 756 981; 758 957; 734 955; 735 941
6; 870 989; 849 1009; 832 987; 818 998; 811 991; 833 972; 851 993; 863 982
7; 871 987; 863 960; 836 967; 831 950; 822 953; 828 980; 856 973; 861 990
8; 860 932; 859 957; 884 959; 882 976; 892 977; 894 951; 868 949; 869 933
9; 203 908; 184 923; 200 941; 187 951; 193 959; 212 942; 196 925; 209 914
10; 426 940; 424 915; 398 917; 397 901; 389 902; 390 927; 416 925; 417 941
11; 527 927; 516 905; 538 895; 531 881; 539 878; 549 899; 528 909; 535 923
12; 139 898; 108 898; 108 928; 88 928; 88 938; 119 940; 119 909; 139 909
13; 139 859; 126 886; 153 899; 145 917; 155 922; 169 893; 140 881; 149 864
14; 1020 910; 995 900; 985 926; 970 920; 967 928; 991 938; 1001 912; 1017 918
15; 999 846; 996 868; 1018 872; 1015 885; 1023 887; 1027 864; 1004 860; 1007 848
16; 1020 866; 997 871; 1002 894; 989 898; 990 907; 1013 901; 1008 878; 1022 873
17; 527 840; 505 851; 515 875; 500 881; 505 891; 527 879; 517 855; 532 849
18; 770 879; 751 862; 767 843; 754 833; 760 826; 779 842; 763 860; 776 871
19; 595 814; 573 824; 583 848; 568 854; 573 863; 595 852; 585 828; 600 822
20; 176 842; 166 818; 142 826; 136 810; 127 814; 136 838; 160 830; 166 845
21; 539 807; 529 829; 551 840; 544 855; 552 858; 564 835; 541 824; 548 810
22; 190 751; 172 770; 192 787; 181 800; 188 806; 206 786; 186 769; 197 757
23; 23 745; 0 756; 10 780; -5 787; 0 796; 23 784; 12 759; 28 753
24; 995 742; 994 772; 964 770; 962 789; 952 788; 954 757; 984 760; 986 741
25; 1023 734; 1023 757; 1000 757; 1000 771; 992 771; 992 748; 1015 748; 1016 734
26; 703 711; 683 693; 666 713; 654 702; 648 709; 667 727; 684 707; 697 718
27; 1013 687; 1002 699; 1015 710; 1008 718; 1013 722; 1024 709; 1011 698; 1018 691
28; 371 682; 360 704; 336 694; 330 709; 320 704; 332 682; 356 692; 362 677
29; 465 663; 443 674; 453 697; 438 702; 443 712; 465 700; 455 677; 470 671
30; 67 661; 49 680; 69 696; 59 708; 65 714; 83 694; 63 678; 73 667
31; 381 666; 362 648; 345 668; 333 657; 328 664; 346 682; 363 662; 376 673
32; 254 639; 236 657; 256 674; 245 686; 252 692; 270 672; 250 656; 261 645
33; 442 656; 424 636; 405 653; 396 640; 388 646; 404 666; 423 649; 433 662
34; 321 598; 310 621; 333 632; 326 647; 335 651; 347 627; 322 616; 330 602
35; 1012 583; 1000 596; 1014 608; 1006 618; 1012 622; 1024 608; 1010 596; 1018 587
36; 484 591; 460 579; 449 602; 435 595; 431 604; 454 615; 465 592; 480 599
37; 244 584; 221 572; 210 595; 196 588; 193 596; 215 608; 226 585; 241 592
38; 1000 569; 994 593; 970 587; 966 602; 957 599; 964 575; 988 581; 992 566
39; 823 569; 805 587; 788 567; 776 578; 770 571; 789 553; 806 573; 817 562
40; 589 531; 569 548; 586 567; 573 577; 579 586; 599 568; 582 549; 595 538
41; 844 521; 843 546; 817 544; 816 561; 807 559; 809 533; 835 536; 836 519
42; 95 517; 89 542; 64 536; 60 551; 50 549; 57 524; 82 530; 87 515
43; 993 518; 986 493; 961 499; 956 484; 948 486; 954 511; 979 505; 983 520
44; 325 480; 305 496; 322 515; 309 525; 315 533; 335 516; 318 497; 331 487
45; 363 479; 363 504; 387 504; 387 520; 396 520; 396 495; 372 495; 370 479
46; 211 469; 211 494; 235 494; 235 510; 244 510; 244 485; 220 485; 219 469
47; 609 457; 590 473; 606 492; 593 502; 599 510; 618 493; 602 474; 615 464
48; 635 499; 618 479; 637 463; 627 452; 633 446; 650 465; 631 480; 641 493
