0; 523 989; 514 1014; 489 1005; 482 1021; 472 1017; 482 992; 507 1001; 514 985
1; 382 972; 370 950; 346 960; 340 945; 331 950; 342 972; 366 962; 372 977
2; 763 942; 738 942; 738 968; 722 968; 722 976; 747 977; 747 952; 763 952
3; 281 969; 274 944; 249 950; 244 935; 236 937; 242 962; 267 956; 271 971
4; 704 977; 699 952; 724 948; 721 934; 730 932; 734 956; 710 960; 713 975
5; 1011 917; 1005 942; 980 936; 975 951; 966 949; 973 924; 998 930; 1003 914
6; 856 936; 830 938; 828 911; 810 912; 809 902; 836 900; 839 927; 855 926
7; 386 895; 385 921; 411 924; 410 941; 420 942; 422 915; 395 912; 396 896
8; 1000 853; 975 859; 981 884; 967 889; 968 898; 993 891; 987 866; 1003 861
9; 539 857; 514 859; 516 885; 501 886; 502 895; 526 893; 524 867; 540 866
10; 857 834; 846 857; 869 868; 862 884; 871 887; 883 863; 858 852; 866 837
11; 456 831; 438 851; 419 834; 408 848; 399 841; 418 821; 437 838; 447 824
12; 51 813; 34 833; 15 816; 5 829; -3 823; 14 803; 33 820; 42 807
13; 618 842; 595 835; 600 811; 585 807; 588 799; 611 805; 606 828; 619 833
14; 231 800; 205 796; 200 822; 186 818; 184 828; 209 832; 213 806; 229 810
15; 724 824; 712 849; 737 860; 729 877; 738 881; 751 855; 725 843; 733 828
16; 734 789; 723 813; 746 824; 739 840; 748 844; 760 819; 735 808; 743 793
17; 149 781; 132 801; 113 784; 102 798; 93 791; 112 771; 131 788; 141 774
18; 287 813; 264 806; 269 783; 255 778; 257 770; 280 776; 275 799; 288 804
19; 250 793; 243 768; 218 774; 213 759; 205 761; 211 786; 236 780; 241 795
20; 504 748; 503 762; 489 760; 488 769; 483 769; 485 755; 499 756; 499 747
21; 368 800; 361 776; 337 782; 333 767; 325 769; 330 794; 355 788; 359 803
22; 354 765; 336 743; 316 761; 305 747; 297 753; 314 775; 334 757; 346 771
23; 155 719; 152 743; 175 747; 172 762; 181 764; 185 739; 161 735; 164 721
24; 905 757; 895 732; 921 722; 915 707; 923 703; 932 728; 907 738; 914 754
25; 435 712; 424 735; 447 746; 440 762; 449 765; 461 741; 436 730; 444 715
26; 612 704; 588 704; 588 728; 573 728; 573 736; 597 737; 597 713; 612 713
27; 346 709; 320 709; 320 736; 302 736; 302 745; 329 746; 329 719; 346 719
28; 313 696; 291 702; 296 724; 284 728; 285 737; 307 730; 302 708; 315 704
29; 653 684; 642 708; 666 719; 658 735; 667 739; 679 714; 654 703; 662 688
30; 125 677; 98 679; 101 706; 85 707; 86 717; 112 715; 109 688; 126 687
