0; 136 987; 112 989; 114 1013; 100 1014; 101 1023; 124 1021; 122 997; 137 996
1; 383 946; 357 950; 362 976; 347 979; 348 988; 373 984; 368 958; 384 955
2; 423 977; 398 983; 404 1008; 390 1012; 391 1022; 416 1015; 410 990; 425 985
3; 431 1015; 419 991; 442 980; 435 966; 444 962; 454 985; 432 996; 439 1011
4; 440 963; 433 941; 411 946; 407 933; 399 935; 405 957; 427 952; 431 965
5; 137 926; 136 950; 159 952; 158 967; 167 969; 169 944; 145 942; 146 928
6; 529 935; 506 923; 495 946; 481 939; 478 947; 500 959; 511 936; 526 943
7; 995 952; 975 935; 992 916; 979 906; 985 899; 1005 915; 988 934; 1001 944
8; 102 889; 78 877; 67 900; 53 893; 49 902; 72 913; 83 890; 98 897
9; 740 868; 715 874; 721 899; 707 904; 708 913; 733 906; 727 881; 742 876
10; 219 869; 193 865; 188 891; 174 887; 172 897; 197 901; 201 875; 217 879
11; 66 871; 43 862; 51 840; 37 834; 40 826; 63 834; 55 856; 69 862
12; 634 791; 612 802; 622 826; 607 832; 612 842; 634 830; 624 806; 639 800
13; 224 770; 207 786; 192 768; 180 778; 175 772; 193 756; 208 774; 219 764
14; 451 752; 451 775; 474 775; 474 789; 482 789; 482 766; 459 766; 458 752
15; 29 753; 28 774; 7 772; 6 786; -1 785; 0 764; 21 766; 22 752
16; 37 797; 26 775; 48 765; 41 751; 49 748; 59 769; 38 779; 45 794
17; 790 712; 789 737; 763 735; 762 751; 753 750; 755 725; 781 727; 782 711
18; 599 680; 599 706; 625 706; 625 723; 634 723; 634 697; 608 697; 607 680
19; 150 665; 123 660; 118 687; 104 683; 101 693; 127 698; 132 671; 147 675
20; 251 665; 244 642; 221 647; 216 633; 208 635; 214 658; 237 653; 242 667
21; 893 669; 876 650; 895 635; 885 624; 891 618; 908 636; 889 651; 899 663
22; 949 586; 947 558; 920 561; 918 543; 910 544; 911 572; 938 569; 940 587
23; 140 576; 123 558; 142 543; 132 532; 138 527; 155 544; 136 559; 146 571
24; 47 552; 40 527; 15 533; 10 517; 2 520; 8 545; 33 539; 38 554
25; 116 461; 109 435; 82 441; 77 424; 69 427; 75 453; 101 447; 106 463
26; 483 436; 480 409; 454 412; 453 395; 444 396; 446 423; 472 420; 473 437
27; 324 382; 299 388; 305 413; 291 417; 292 427; 317 420; 311 395; 326 391
28; 1015 363; 996 382; 1017 399; 1006 412; 1013 418; 1032 398; 1011 381; 1022 369
29; 13 357; 0 371; 15 384; 7 393; 13 398; 26 383; 11 370; 19 362
30; 471 371; 454 355; 439 373; 429 363; 424 369; 440 385; 455 367; 466 377
31; 633 388; 627 402; 611 395; 608 405; 602 402; 609 388; 624 395; 628 385
32; 658 356; 643 374; 626 359; 617 371; 609 366; 625 348; 642 363; 650 351
33; 656 385; 642 365; 621 379; 614 366; 607 371; 620 391; 640 377; 649 390
34; 365 347; 365 373; 391 373; 391 390; 400 390; 400 364; 374 364; 373 347
35; 335 335; 312 331; 308 354; 296 351; 294 359; 316 363; 320 340; 333 343
36; 849 343; 830 322; 811 339; 801 325; 792 331; 810 352; 829 335; 840 349
37; 963 373; 944 356; 960 337; 947 327; 953 320; 972 336; 956 354; 969 365
38; 80 335; 56 322; 67 297; 51 291; 56 282; 80 294; 69 318; 85 325
39; 756 325; 734 314; 744 290; 729 284; 734 276; 756 286; 746 310; 761 316
40; 605 280; 586 262; 569 282; 557 271; 552 278; 570 296; 587 276; 600 287
41; 770 239; 753 256; 772 271; 762 283; 768 288; 785 270; 766 255; 776 244
42; 357 219; 345 245; 371 258; 363 276; 372 280; 386 252; 359 240; 367 223
43; 342 238; 332 260; 354 271; 347 286; 355 289; 367 266; 344 255; 351 241
44; 951 248; 944 223; 919 229; 914 213; 906 216; 912 241; 937 235; 942 251
45; 818 203; 796 208; 801 230; 789 234; 790 242; 812 236; 807 214; 820 210
46; 404 214; 397 191; 374 196; 369 182; 361 184; 367 207; 390 202; 395 216
47; 914 192; 897 176; 882 194; 872 184; 867 190; 883 206; 898 188; 909 198
48; 700 175; 679 171; 675 192; 663 189; 661 197; 681 201; 685 180; 698 183
49; 380 162; 354 157; 350 183; 336 179; 333 188; 358 193; 362 168; 377 171
50; 745 205; 719 198; 725 172; 709 167; 711 158; 737 164; 731 190; 746 195
51; 754 169; 728 169; 728 142; 711 142; 711 133; 737 131; 737 159; 754 159
52; 460 132; 438 114; 456 94; 442 82; 448 75; 470 92; 452 112; 466 124
53; 1022 104; 1020 77; 993 80; 992 63; 983 64; 984 91; 1011 88; 1012 105
54; 866 62; 842 74; 853 98; 837 105; 842 115; 866 102; 855 77; 871 71
55; 695 66; 672 56; 663 80; 649 75; 646 83; 668 92; 677 68; 692 73
56; 335 80; 329 57; 306 62; 301 48; 294 50; 299 73; 322 68; 327 82
