0; 636 1015; 621 994; 600 1008; 592 995; 585 999; 599 1020; 620 1006; 629 1019
1; 1005 950; 1003 965; 1018 968; 1016 977; 1021 979; 1024 963; 1009 960; 1011 952
2; 602 936; 577 936; 577 962; 561 962; 561 970; 586 971; 586 946; 602 946
3; 859 958; 847 936; 824 946; 818 931; 810 936; 820 958; 844 948; 850 963
4; 224 925; 207 944; 226 959; 216 972; 222 978; 239 958; 220 942; 230 931
5; 200 920; 180 936; 197 955; 184 965; 190 973; 210 956; 193 937; 206 927
6; 119 892; 112 867; 87 873; 82 858; 74 860; 80 885; 105 879; 109 894
7; 24 896; 4 878; 21 859; 8 848; 14 841; 34 858; 17 877; 30 887
8; 318 814; 293 809; 289 834; 275 831; 273 840; 297 845; 301 820; 316 823
9; 797 824; 780 805; 763 821; 754 808; 746 814; 762 833; 779 817; 789 830
10; 731 827; 710 838; 700 816; 685 823; 682 815; 704 804; 714 826; 728 819
11; 502 774; 478 776; 480 800; 466 801; 467 810; 490 808; 488 784; 503 783
12; 901 752; 884 770; 903 785; 893 798; 899 803; 916 784; 897 769; 907 757
13; 325 751; 301 747; 297 770; 285 767; 283 775; 305 779; 309 756; 322 759
14; 271 769; 259 747; 236 757; 230 742; 222 747; 233 769; 256 759; 262 774
15; 1001 794; 989 770; 1012 759; 1005 745; 1014 741; 1024 764; 1002 775; 1009 790
16; 814 750; 802 728; 778 738; 772 723; 763 728; 774 750; 798 740; 804 755
17; 527 710; 502 707; 500 732; 485 731; 484 740; 508 743; 510 718; 526 719
18; 1025 679; 999 679; 999 705; 982 705; 982 713; 1008 714; 1008 688; 1025 688
19; 19 614; 19 629; 4 627; 3 637; -1 636; 0 621; 14 623; 15 613
20; 783 623; 758 620; 756 645; 741 644; 740 653; 764 656; 766 631; 782 632
21; 815 616; 790 613; 788 638; 773 637; 772 646; 796 649; 798 624; 814 625
22; 880 591; 857 597; 862 620; 849 625; 850 634; 873 627; 868 604; 882 599
23; 899 595; 882 576; 901 561; 891 550; 897 544; 914 562; 895 577; 905 590
24; 407 539; 382 537; 380 561; 365 560; 364 569; 388 571; 390 547; 406 548
25; 379 514; 354 510; 350 534; 336 531; 334 540; 358 544; 362 520; 377 523
26; 135 485; 112 478; 117 455; 103 450; 105 442; 128 448; 123 471; 136 476
27; 280 455; 257 446; 265 422; 250 416; 253 408; 277 416; 269 440; 284 446
28; 598 371; 573 366; 569 391; 555 388; 553 397; 577 402; 581 377; 596 380
29; 293 391; 269 393; 267 369; 251 370; 250 361; 275 359; 277 383; 292 382
30; 411 366; 394 347; 377 363; 368 351; 360 356; 376 375; 393 359; 403 371
31; 60 349; 45 328; 24 342; 16 329; 9 333; 23 354; 44 340; 53 353
32; 372 329; 347 325; 343 349; 329 346; 327 355; 351 359; 355 335; 370 338
33; 602 310; 579 298; 568 321; 554 314; 551 322; 573 334; 584 311; 599 318
34; 220 268; 195 263; 191 288; 177 285; 175 294; 199 299; 203 274; 218 277
35; 90 243; 79 221; 57 231; 51 217; 43 221; 53 243; 75 233; 81 247
36; 733 187; 725 210; 703 202; 697 216; 688 213; 697 190; 720 198; 725 184
37; 968 206; 943 198; 949 173; 933 168; 936 160; 961 166; 955 191; 970 196
38; 489 178; 465 182; 461 158; 446 161; 444 152; 469 148; 473 172; 487 169
39; 243 102; 217 100; 215 126; 200 124; 199 134; 223 136; 225 111; 241 112
40; 766 75; 742 64; 731 87; 717 80; 713 89; 736 100; 747 77; 762 84
41; 112 58; 87 54; 83 78; 69 75; 67 84; 91 88; 95 64; 110 67
42; 376 65; 364 43; 341 53; 335 38; 327 43; 338 65; 361 55; 367 70
43; 1003 37; 991 15; 968 25; 962 10; 954 15; 964 37; 988 27; 994 42
44; 670 12; 653 -1; 640 14; 630 6; 625 12; 641 26; 654 10; 665 18
45; 313 46; 292 46; 292 25; 278 25; 278 17; 299 16; 299 38; 313 38
46; 291 24; 289 3; 268 5; 267 -7; 260 -7; 261 13; 282 11; 283 24
47; 276 16; 256 35; 239 14; 225 25; 219 18; 240 0; 257 20; 270 9
48; 136 -1; 112 0; 114 24; 100 25; 101 34; 124 32; 122 8; 137 7
