0; 99 1007; 73 1007; 73 981; 56 981; 56 972; 82 971; 82 998; 99 998
1; 362 965; 353 989; 378 999; 371 1014; 380 1018; 390 993; 364 983; 370 968
2; 123 943; 119 969; 145 974; 141 989; 151 992; 156 965; 129 960; 133 946
3; 767 927; 749 946; 769 963; 758 976; 765 982; 783 962; 763 945; 774 933
4; 213 947; 206 922; 181 928; 176 913; 168 915; 174 940; 199 934; 203 949
5; 97 930; 71 930; 71 904; 54 904; 54 895; 80 894; 80 921; 97 921
6; 21 888; 18 913; 43 917; 39 933; 48 935; 53 909; 27 904; 31 890
7; 667 898; 646 914; 630 892; 616 902; 610 894; 632 878; 648 900; 661 890
8; 798 863; 771 866; 774 892; 758 893; 760 903; 784 900; 782 874; 799 873
9; 767 840; 742 840; 742 866; 726 866; 726 874; 751 875; 751 849; 767 849
10; 131 832; 130 857; 155 859; 153 876; 163 877; 165 851; 139 849; 140 833
11; 575 828; 550 828; 550 854; 534 854; 534 862; 559 863; 559 837; 575 837
12; 641 872; 623 852; 643 836; 633 825; 639 819; 657 837; 637 854; 647 866
13; 13 873; -4 857; 10 840; -1 830; 3 824; 21 839; 6 856; 18 866
14; 350 842; 347 818; 324 820; 323 805; 316 806; 317 830; 340 828; 341 843
15; 283 802; 266 820; 285 835; 275 847; 281 853; 298 834; 279 819; 289 808
16; 964 794; 946 813; 966 830; 955 843; 962 849; 980 829; 960 812; 971 800
17; 421 789; 402 805; 418 824; 405 834; 411 842; 430 825; 414 806; 427 796
18; 227 807; 208 821; 194 801; 181 810; 176 803; 196 789; 210 809; 222 800
19; 694 788; 693 812; 717 814; 716 830; 725 831; 728 806; 702 804; 704 789
20; 882 819; 858 817; 860 791; 844 790; 845 781; 870 783; 868 809; 883 810
21; 480 757; 480 782; 454 782; 454 798; 445 798; 445 773; 471 773; 472 757
22; 580 756; 556 756; 556 780; 540 780; 540 788; 565 789; 565 765; 580 765
23; 415 772; 408 747; 383 753; 378 737; 370 740; 376 765; 401 759; 406 775
24; 514 784; 504 759; 530 749; 524 734; 532 731; 541 755; 516 765; 523 781
25; 222 731; 211 754; 234 765; 227 780; 236 784; 248 760; 223 749; 231 735
26; 619 671; 600 691; 621 708; 610 722; 617 728; 636 707; 615 690; 626 677
27; 78 651; 54 640; 43 663; 29 656; 25 665; 48 676; 59 653; 74 660
28; 888 638; 888 664; 861 664; 861 681; 851 681; 851 655; 878 655; 879 638
29; 802 619; 783 639; 804 656; 793 670; 800 676; 819 655; 798 638; 809 625
30; 712 596; 700 621; 725 632; 717 649; 726 653; 739 627; 713 616; 721 600
31; 979 589; 951 584; 946 611; 931 607; 928 618; 955 623; 960 595; 976 599
32; 278 590; 252 590; 252 564; 235 564; 235 555; 261 554; 261 581; 278 581
33; 313 575; 294 554; 315 537; 304 524; 311 518; 330 538; 309 555; 320 569
34; 840 514; 836 531; 819 527; 816 538; 809 536; 814 519; 831 523; 834 512
35; 59 503; 43 523; 24 506; 14 519; 6 513; 23 493; 42 510; 51 497
36; 870 490; 849 492; 851 513; 838 514; 839 522; 859 520; 857 499; 871 498
37; 478 560; 468 537; 445 545; 439 530; 431 534; 439 557; 463 549; 468 564
38; 452 493; 429 489; 425 512; 413 509; 411 517; 433 521; 437 498; 450 501
39; 422 540; 401 529; 391 551; 378 544; 375 552; 395 563; 405 541; 419 548
40; 422 569; 412 548; 433 538; 426 525; 434 522; 443 542; 423 552; 430 566
41; 440 535; 416 547; 405 522; 389 530; 385 521; 410 509; 421 534; 436 526
42; 32 428; 28 454; 54 459; 50 475; 60 477; 65 450; 38 445; 42 430
43; 666 444; 659 419; 634 425; 629 410; 621 412; 627 437; 652 431; 657 446
44; 297 389; 272 395; 278 420; 264 425; 265 434; 290 427; 284 402; 299 397
45; 269 381; 243 387; 249 413; 234 418; 235 428; 261 421; 255 395; 271 390
46; 190 427; 187 400; 161 403; 160 386; 151 387; 152 414; 179 411; 180 428
47; 865 368; 839 363; 834 389; 820 385; 818 395; 843 399; 847 373; 863 377
48; 496 382; 481 360; 459 375; 450 361; 443 366; 457 388; 479 373; 489 387
49; 282 345; 262 327; 245 347; 233 336; 227 343; 246 361; 263 341; 276 352
50; 1020 311; 994 311; 994 338; 976 338; 976 347; 1003 348; 1003 321; 1020 321
51; 888 275; 876 299; 901 310; 893 327; 902 330; 915 305; 889 294; 897 278
52; 539 252; 512 247; 507 274; 493 270; 490 280; 516 285; 521 258; 537 262
53; 566 231; 547 251; 568 268; 557 282; 564 288; 583 267; 562 250; 573 237
54; 421 231; 402 210; 383 227; 373 213; 364 219; 381 240; 401 223; 412 237
55; 51 223; 26 225; 24 199; 7 201; 6 191; 32 189; 34 215; 50 213
56; 322 184; 313 208; 338 218; 331 234; 340 237; 350 212; 324 202; 330 187
57; 168 183; 141 180; 138 207; 123 206; 122 215; 147 218; 149 191; 166 192
58; 319 151; 302 171; 283 154; 272 167; 264 161; 282 141; 301 158; 311 145
59; 96 138; 86 161; 108 172; 101 187; 109 191; 121 167; 98 156; 105 142
60; 366 114; 363 139; 388 143; 384 159; 394 161; 398 135; 372 130; 376 116
61; 609 109; 583 109; 583 135; 566 135; 566 143; 592 145; 592 118; 609 118
62; 25 93; 16 118; 41 128; 34 144; 43 148; 53 122; 27 112; 33 97
63; 444 82; 433 105; 409 95; 403 110; 393 105; 405 82; 429 93; 435 78
64; 160 76; 141 94; 124 74; 111 85; 105 78; 125 60; 142 80; 154 69
65; 522 56; 497 65; 506 90; 490 97; 494 107; 519 97; 510 71; 526 65
66; 862 29; 835 24; 830 51; 815 47; 813 57; 839 62; 844 35; 860 39
67; 595 14; 593 27; 606 30; 604 38; 609 39; 612 25; 598 23; 600 15
68; 670 35; 651 14; 632 31; 622 17; 613 23; 630 44; 650 27; 661 41
69; 758 -1; 746 22; 771 33; 763 50; 772 53; 785 28; 759 17; 767 1
