0; 137 -7; 111 18; 146 28
1; 236 -11; 211 12; 243 22
2; 172 44; 201 5; 153 0
3; 418 -8; 394 11; 422 22
4; 936 42; 960 0; 911 0
5; 542 49; 582 17; 534 -1
6; 989 63; 1015 23; 968 20
7; 217 70; 255 40; 210 22
8; 528 113; 571 86; 526 62
9; 606 118; 648 147; 653 96
10; 277 126; 310 161; 323 114
11; 137 110; 100 141; 145 158
12; 782 178; 829 160; 790 129
13; 527 185; 571 161; 528 136
14; 237 186; 194 171; 203 215
15; 164 171; 120 192; 161 219
16; 79 210; 112 236; 118 194
17; 76 213; 114 187; 72 167
18; 224 211; 268 228; 262 181
19; 166 245; 211 229; 174 198
20; 923 256; 929 205; 883 225
21; 1026 221; 981 220; 1003 260
22; 432 245; 478 257; 465 211
23; 50 245; 9 227; 14 271
24; 189 256; 232 276; 228 229
25; 234 263; 282 278; 271 230
26; 495 267; 445 268; 470 311
27; 538 297; 506 257; 487 305
28; 614 285; 654 313; 658 265
29; 902 274; 854 272; 876 315
30; 359 320; 368 272; 322 288
31; 966 306; 995 346; 1015 301
32; 762 331; 724 296; 713 347
33; 497 334; 541 351; 533 305
34; 854 359; 888 324; 840 312
35; 226 365; 271 348; 234 317
36; 593 352; 638 373; 633 323
37; 467 372; 514 359; 479 325
38; 122 356; 166 374; 160 326
39; 682 365; 701 390; 713 361
40; -7 375; 27 383; 17 350
41; 344 403; 379 370; 333 356
42; 1024 376; 981 362; 990 407
43; 331 416; 310 373; 284 413
44; 933 411; 978 429; 972 381
45; 267 430; 253 382; 218 418
46; 46 422; 8 393; 2 441
47; 572 420; 533 393; 528 440
48; 650 421; 603 408; 615 456
49; 213 409; 169 432; 210 459
50; 482 427; 492 481; 534 445
51; 24 471; 73 475; 53 430
52; 937 470; 888 457; 901 506
53; 670 504; 677 456; 632 474
54; 825 469; 776 467; 799 511
55; 296 502; 262 467; 249 514
56; 53 499; 97 516; 90 470
57; 379 521; 347 485; 332 530
58; 446 509; 400 492; 408 541
59; 973 508; 927 493; 936 541
60; 277 521; 316 553; 325 503
61; 1007 506; 967 536; 1013 555
62; 456 540; 409 550; 441 586
63; 235 551; 186 547; 207 592
64; 443 585; 492 592; 474 546
65; 991 577; 1024 588; 1017 554
66; 117 549; 78 578; 123 597
67; 226 573; 268 600; 271 550
68; 347 571; 307 597; 350 619
69; 489 614; 537 613; 511 572
70; 794 622; 767 580; 744 624
71; 77 595; 31 615; 71 645
72; 177 628; 219 639; 208 598
73; 317 613; 271 604; 286 649
74; 625 635; 677 644; 659 595
75; 184 614; 142 633; 179 660
76; 232 648; 281 655; 263 609
77; 457 659; 484 638; 453 625
78; 958 655; 994 691; 1007 643
79; 598 676; 647 686; 632 639
80; 84 678; 54 639; 35 684
81; 467 679; 433 667; 439 702
82; 184 705; 233 696; 200 658
83; 145 710; 116 712; 132 737
84; 705 726; 654 715; 670 764
85; 738 769; 718 722; 688 763
86; 28 790; 74 772; 35 741
87; 332 793; 375 769; 333 744
88; 732 791; 780 792; 757 750
89; 620 785; 665 804; 659 755
90; 148 807; 190 787; 152 760
91; 1016 802; 985 757; 962 806
92; 781 804; 817 808; 803 775
93; 721 774; 678 794; 717 822
94; 474 829; 513 800; 469 781
95; 84 783; 44 803; 81 829
96; 384 785; 342 804; 380 832
97; 809 825; 858 821; 830 781
98; -7 813; 20 841; 31 803
99; 197 795; 157 820; 199 842
100; 317 821; 277 792; 273 841
101; 1014 818; 968 810; 984 854
102; 720 826; 754 857; 765 812
103; 40 877; -1 853; -1 901
104; 54 822; 13 846; 54 870
105; 683 864; 734 874; 717 824
106; 825 872; 875 872; 850 828
107; 680 848; 631 844; 652 888
108; 334 885; 323 831; 281 868
109; 644 875; 598 856; 605 905
110; 971 906; 1018 917; 1004 871
111; 494 925; 548 939; 533 885
112; 436 930; 484 942; 471 894
113; 771 946; 817 924; 775 896
114; 399 973; 441 942; 393 921
115; 178 962; 229 962; 204 918
116; 154 967; 101 964; 125 1011
117; 752 975; 702 959; 713 1010
118; 401 1011; 390 954; 346 992
119; 169 1027; 166 983; 129 1008
120; 193 1004; 244 1019; 231 967
121; 524 1030; 521 989; 487 1013
