0; 731 61; 758 30; 718 22
1; 124 77; 151 45; 110 38
2; 167 48; 139 78; 179 87
3; 875 113; 904 85; 865 74
4; 798 78; 769 105; 807 116
5; 946 155; 965 120; 925 121
6; 713 116; 708 155; 744 140
7; 792 166; 802 128; 764 138
8; 358 134; 342 172; 382 167
9; 849 190; 875 159; 836 152
10; 919 209; 945 177; 904 170
11; 973 213; 990 177; 950 180
12; 217 251; 233 214; 193 218
13; 287 265; 314 234; 274 226
14; 543 268; 575 242; 536 228
15; 436 242; 412 274; 451 279
16; 653 287; 678 255; 638 249
17; 960 314; 968 275; 930 288
18; 637 324; 664 292; 624 285
19; 447 319; 413 311; 423 344
20; 456 295; 424 291; 437 321
21; 893 395; 919 363; 878 356
22; 213 379; 219 406; 239 387
23; 305 403; 343 397; 318 367
24; 584 375; 572 414; 611 405
25; 914 427; 915 387; 880 406
26; 533 430; 549 393; 509 398
27; 789 409; 765 443; 806 446
28; 940 454; 920 489; 960 489
29; 521 529; 533 491; 494 499
30; 826 534; 849 503; 810 498
31; 41 500; 32 539; 70 527
32; 238 548; 266 521; 229 511
33; 588 547; 588 508; 554 528
34; 315 551; 339 520; 300 515
35; 637 552; 664 523; 626 514
36; 1025 534; 994 519; 996 553
37; 265 526; 252 564; 292 557
38; 798 596; 803 554; 764 571
39; 173 613; 168 573; 136 597
40; 1014 618; 1021 579; 984 591
41; 877 639; 902 606; 861 601
42; 608 611; 599 651; 639 639
43; 139 699; 168 670; 129 660
44; 33 702; 53 670; 16 668
45; 530 682; 530 723; 565 702
46; 515 723; 531 762; 557 729
47; 39 762; 54 724; 14 730
48; 852 729; 833 766; 875 763
49; 579 802; 566 762; 538 794
50; 41 789; 55 827; 81 796
51; 476 794; 466 832; 504 821
52; -3 826; 4 851; 22 832
53; 381 825; 386 865; 419 840
54; 503 835; 461 833; 480 870
55; 842 837; 860 875; 884 841
56; 150 871; 129 836; 109 872
57; 527 883; 500 849; 484 889
58; 924 861; 910 903; 953 895
59; 89 869; 89 911; 125 890
60; 168 936; 165 896; 132 919
61; 688 934; 659 901; 644 942
62; 223 950; 227 908; 189 926
63; 332 955; 328 912; 293 937
64; 844 960; 822 920; 798 959
65; 227 934; 247 971; 269 936
66; 116 976; 144 1012; 161 970
