0; 329 -5; 321 42; 366 26
1; 947 84; 997 79; 967 39
2; 316 74; 305 122; 352 107
3; 863 129; 878 81; 829 92
4; 310 172; 306 122; 264 151
5; 367 140; 337 179; 385 186
6; 135 192; 105 149; 83 196
7; 370 231; 419 223; 388 184
8; 539 207; 506 244; 555 254
9; -6 266; 26 262; 7 237
10; 621 273; 631 291; 642 273
11; 662 313; 663 290; 643 301
12; 924 358; 972 349; 941 311
13; 1024 335; 975 349; 1012 385
14; 255 399; 261 350; 215 369
15; 192 418; 239 432; 228 384
16; 87 397; 37 407; 71 445
17; 254 444; 303 428; 265 394
18; 900 469; 936 433; 887 420
19; 333 486; 376 462; 334 436
20; 108 449; 124 493; 155 458
21; 579 502; 629 502; 604 459
22; 399 518; 416 562; 446 525
23; 309 527; 344 565; 359 516
24; 611 536; 574 555; 609 578
25; 700 604; 732 565; 682 557
26; 367 609; 396 569; 347 564
27; 548 596; 592 589; 564 554
28; 601 619; 644 597; 603 571
29; 448 626; 490 599; 446 576
30; 581 648; 594 600; 546 613
31; 701 718; 748 692; 702 664
32; 932 732; 983 729; 954 687
33; 119 748; 135 700; 85 710
34; 218 792; 265 772; 224 741
35; 482 786; 448 748; 433 796
36; 937 783; 965 824; 986 779
37; 608 824; 618 775; 570 791
38; 71 805; 22 787; 30 838
39; 490 804; 443 818; 478 852
40; 530 872; 562 872; 546 844
41; 21 889; 70 874; 33 840
42; 633 894; 683 889; 655 848
43; 687 951; 701 928; 674 927
44; 686 889; 712 936; 740 890
45; 48 972; 82 936; 33 925
46; 510 960; 559 972; 546 924
47; 726 985; 760 950; 713 938
48; 395 980; 419 963; 393 950
49; 385 976; 334 972; 356 1018
50; 48 1016; 99 1003; 63 965
51; 958 1026; 976 981; 928 987
