0; 373 28; 353 61; 392 62
1; 618 53; 646 81; 656 43
2; 782 66; 808 96; 821 58
3; 213 82; 174 97; 206 123
4; 811 131; 850 139; 838 101
5; 216 165; 208 124; 177 151
6; 996 130; 961 152; 997 171
7; 970 165; 934 173; 958 200
8; 758 185; 790 208; 794 169
9; 1000 211; 994 172; 963 196
10; 463 199; 432 174; 426 214
11; 382 194; 411 220; 419 181
12; 248 201; 278 226; 284 188
13; 130 235; 168 214; 131 192
14; 408 229; 380 202; 371 239
15; 232 246; 264 226; 231 208
16; 166 217; 144 244; 178 250
17; 661 247; 630 224; 626 262
18; 96 261; 134 276; 128 236
19; 779 253; 809 280; 817 241
20; 46 311; 81 291; 46 271
21; 656 287; 684 314; 693 276
22; 701 322; 733 299; 697 282
23; 390 320; 418 349; 429 311
24; 445 332; 471 362; 483 325
25; 220 333; 188 357; 225 373
26; 230 372; 262 397; 267 357
27; 528 378; 564 396; 561 356
28; 850 398; 887 384; 856 359
29; 980 409; 987 370; 950 383
30; 928 392; 888 385; 902 423
31; 242 395; 207 413; 240 435
32; 339 420; 374 438; 373 398
33; 509 453; 515 415; 478 429
34; 519 460; 556 445; 524 421
35; 54 445; 90 462; 87 423
36; 956 444; 924 466; 959 483
37; -4 468; 20 492; 28 458
38; 699 481; 669 458; 664 496
39; 543 482; 507 466; 512 505
40; 216 492; 250 513; 251 473
41; 164 474; 148 510; 187 505
42; 588 500; 624 517; 621 477
43; 551 516; 582 541; 588 502
44; 550 536; 515 520; 519 558
45; 1015 562; 1020 521; 982 537
46; 820 539; 789 549; 814 571
47; 174 599; 208 582; 175 561
48; 690 570; 652 574; 674 605
49; 313 577; 339 607; 352 570
50; 382 592; 419 604; 411 567
51; 623 580; 621 603; 643 593
52; 688 608; 727 599; 701 570
53; 382 631; 378 588; 343 612
54; 503 604; 464 604; 484 637
55; 220 617; 185 601; 188 639
56; 692 622; 721 646; 728 608
57; 669 615; 639 591; 633 629
58; 653 629; 686 653; 691 612
59; 416 700; 420 743; 455 719
60; 649 764; 650 723; 615 743
61; 302 755; 338 773; 335 733
62; 377 755; 410 782; 416 740
63; 531 766; 569 777; 560 738
64; 643 791; 680 796; 666 761
65; 44 820; 80 803; 47 781
66; 102 896; 136 875; 101 856
67; 493 898; 529 881; 496 858
68; 635 896; 666 920; 671 882
69; 75 906; 96 922; 99 896
70; 36 921; 73 934; 66 895
71; 997 940; 1024 926; 998 910
72; 140 944; 142 905; 107 923
73; 419 922; 448 947; 455 910
74; 958 913; 956 953; 991 935
75; 691 923; 657 943; 691 962
76; 76 957; 114 967; 104 929
77; 740 973; 710 947; 703 986
78; 497 975; 535 984; 525 947
79; 846 967; 878 991; 882 952
80; 843 988; 812 964; 807 1003
81; 388 1025; 416 1017; 395 997
