0; 152 -1; 167 41; 196 7
1; 243 29; 267 10; 238 -1
2; 292 11; 323 45; 337 1
3; 495 36; 555 38; 526 -15
4; 577 -6; 565 36; 608 25
5; 680 -8; 649 21; 689 33
6; 787 51; 783 1; 741 30
7; 863 22; 822 38; 856 65
8; 829 31; 858 12; 827 -4
9; 119 48; 165 52; 146 10
10; 754 51; 721 14; 706 61
11; 115 73; 109 28; 73 56
12; 794 82; 837 58; 794 33
13; 564 56; 520 39; 527 86
14; 283 95; 290 49; 246 66
15; 513 96; 501 47; 465 82
16; 171 84; 133 59; 131 104
17; 824 74; 854 113; 872 68
18; 894 76; 924 116; 943 70
19; 103 95; 68 62; 57 109
20; 54 68; 7 88; 48 119
21; 580 104; 628 114; 613 67
22; 707 106; 755 119; 742 70
23; 426 86; 426 134; 468 110
24; 492 98; 499 146; 537 116
25; 306 116; 260 102; 271 149
26; 286 144; 331 157; 319 112
27; 851 139; 882 174; 898 130
28; 549 142; 585 176; 596 128
29; 41 157; -1 133; -1 181
30; 33 168; 79 177; 64 133
31; 709 157; 662 145; 675 191
32; 848 161; 799 151; 815 198
33; 315 171; 273 155; 280 200
34; 239 190; 210 155; 194 198
35; 299 206; 344 207; 322 168
36; 522 199; 567 215; 558 168
37; 147 205; 120 168; 101 209
38; 770 190; 771 240; 814 214
39; 956 213; 983 253; 1005 209
40; 464 254; 501 227; 459 208
41; 185 245; 180 216; 158 235
42; 298 233; 332 263; 341 218
43; 410 243; 437 238; 419 217
44; 76 250; 122 263; 110 218
45; 509 216; 493 262; 541 254
46; 409 225; 385 254; 422 261
47; 4 252; 25 248; 11 232
48; 643 273; 614 230; 591 277
49; 856 265; 887 304; 905 258
50; 395 292; 424 255; 377 248
51; 822 268; 773 274; 803 314
52; 86 312; 129 294; 92 266
53; 471 303; 417 270; 415 334
54; 530 319; 567 291; 523 273
55; 670 327; 670 281; 630 304
56; 607 335; 602 282; 559 313
57; 966 289; 969 335; 1007 310
58; 834 336; 880 327; 849 291
59; 681 294; 671 340; 716 325
60; 161 329; 130 296; 118 340
