0; -5 10; 8 43; 30 15
1; 165 -7; 143 12; 170 22
2; 919 34; 938 2; 901 2
3; 358 15; 318 10; 333 47
4; 122 16; 102 50; 142 50
5; 768 33; 728 33; 749 68
6; 795 59; 836 66; 822 27
7; 116 89; 155 90; 137 56
8; -3 76; 26 74; 9 50
9; 99 76; 60 74; 77 109
10; 744 97; 784 101; 767 64
11; 206 103; 244 106; 228 71
12; 479 106; 518 115; 506 76
13; 456 104; 417 96; 429 134
14; 111 134; 151 137; 134 101
15; 152 139; 193 144; 177 106
16; 160 145; 137 179; 178 182
17; 400 193; 360 188; 375 225
18; 716 199; 677 195; 692 230
19; 299 193; 285 230; 324 224
20; 305 191; 328 221; 344 186
21; 128 213; 92 208; 106 242
22; 561 242; 590 216; 553 204
23; 808 236; 803 204; 777 224
24; 810 204; 813 239; 841 219
25; 255 263; 282 231; 241 224
26; 432 233; 395 226; 407 261
27; 371 236; 333 228; 344 265
28; 774 258; 753 227; 736 260
29; 319 242; 281 238; 297 272
30; 386 230; 359 259; 397 268
31; 554 250; 519 237; 525 274
32; 209 249; 173 241; 185 277
33; 90 247; 53 243; 68 277
34; 615 250; 578 247; 593 280
35; 472 267; 510 275; 498 238
36; 322 248; 312 284; 348 275
37; 542 279; 580 286; 567 250
38; 346 271; 362 305; 383 274
39; 904 291; 942 296; 927 261
40; 254 269; 266 306; 292 277
41; 496 280; 459 272; 470 309
42; 551 285; 512 278; 525 315
43; 422 281; 385 284; 406 315
44; 768 303; 807 310; 794 273
45; 322 300; 284 296; 300 331
46; 906 307; 868 300; 881 336
47; 348 307; 355 344; 384 319
48; 305 330; 341 341; 333 304
49; 450 320; 413 311; 424 348
50; 963 339; 1002 342; 985 307
51; 145 321; 105 319; 123 354
52; 281 326; 242 319; 256 356
53; 105 322; 73 346; 110 362
54; 391 322; 368 353; 406 356
55; 447 353; 487 355; 469 319
56; 991 347; 951 349; 972 382
57; 75 395; 115 399; 98 362
58; 866 396; 828 384; 836 424
59; 227 399; 188 396; 205 431
60; 743 439; 772 410; 733 400
61; 452 410; 413 405; 429 441
62; 86 404; 71 441; 111 435
63; 1028 433; 1013 409; 999 434
64; 173 462; 167 422; 136 447
65; 29 437; 44 472; 67 442
66; 278 477; 306 449; 267 439
67; 528 453; 488 449; 504 485
68; 83 476; 122 481; 106 446
69; 382 476; 419 484; 408 447
70; 204 496; 234 470; 196 458
71; 433 496; 474 489; 447 457
72; 184 502; 174 464; 146 492
73; 763 479; 724 481; 746 514
74; 271 505; 253 469; 231 503
75; 950 508; 988 512; 973 477
76; 451 524; 486 520; 466 491
77; 231 504; 190 510; 216 543
78; 776 531; 814 537; 800 501
79; 291 521; 252 515; 266 552
80; 152 542; 191 543; 173 509
81; 508 525; 528 558; 547 524
82; 220 543; 257 551; 245 515
83; 996 534; 957 534; 977 567
84; -5 543; 11 573; 29 544
85; 114 553; 76 546; 89 583
86; 72 564; 34 560; 49 595
87; 962 570; 924 559; 933 597
88; 602 570; 563 566; 579 601
89; 207 597; 246 598; 227 564
90; 124 567; 96 595; 134 605
91; 917 637; 947 611; 909 599
92; 772 629; 811 632; 794 597
93; 870 640; 909 640; 889 606
94; 70 641; 110 646; 94 608
95; 854 648; 841 609; 814 640
96; 988 624; 950 623; 968 656
97; 1008 627; 980 655; 1018 665
98; 774 667; 767 628; 736 654
99; 813 644; 774 640; 790 676
100; 495 666; 532 672; 519 636
101; 629 670; 609 636; 590 670
102; 86 678; 67 643; 47 677
103; 302 669; 265 654; 270 694
104; 175 696; 202 672; 167 661
105; 1017 676; 981 663; 988 700
106; 550 672; 566 707; 589 676
107; 505 677; 468 675; 484 708
108; 45 683; 8 691; 33 719
109; -4 674; 31 678; 17 646
110; 943 705; 981 711; 968 675
111; 242 724; 269 695; 231 687
112; 576 715; 615 717; 598 682
113; 378 698; 340 693; 354 729
114; 76 727; 62 690; 37 720
115; 162 735; 200 737; 182 703
116; 999 717; 962 721; 983 751
117; 521 728; 484 715; 491 754
118; 541 745; 581 745; 561 710
119; 63 731; 24 726; 39 762
120; 627 736; 588 733; 605 768
121; 954 741; 916 733; 928 770
122; 277 777; 303 747; 264 740
123; 975 783; 1010 775; 986 748
124; 566 758; 575 799; 606 771
125; 14 795; 53 801; 38 764
126; 429 792; 390 786; 404 823
127; 571 797; 532 788; 544 827
128; 616 819; 606 780; 577 808
129; 239 812; 278 819; 265 782
130; 997 801; 957 796; 972 833
131; 839 806; 801 804; 818 838
132; 350 827; 389 831; 374 796
133; 640 825; 601 823; 619 858
134; 263 863; 290 833; 251 825
135; 971 833; 930 834; 952 869
136; 543 825; 524 869; 571 864
137; 823 852; 839 888; 863 856
138; 788 884; 827 884; 808 850
139; 622 857; 575 853; 595 895
140; 746 888; 786 893; 771 856
141; 656 877; 617 871; 631 908
142; 887 896; 926 900; 910 864
143; 851 881; 823 911; 863 920
144; 920 926; 959 932; 945 895
145; 819 910; 780 904; 794 942
146; 675 915; 637 911; 652 947
147; 695 937; 733 946; 722 908
148; 867 910; 866 951; 901 931
149; 350 931; 311 931; 330 965
150; -4 950; 25 951; 11 925
151; 244 960; 282 968; 269 930
152; 818 977; 844 948; 807 940
153; 923 957; 884 951; 898 988
154; 985 962; 947 951; 957 989
155; 847 986; 885 985; 866 952
156; 492 990; 532 994; 515 958
157; 577 974; 539 967; 552 1003
158; 619 977; 582 970; 594 1006
159; -4 988; 30 995; 19 962
160; 181 977; 144 977; 162 1009
161; 379 980; 342 978; 359 1011
162; 83 1027; 77 994; 52 1016
163; 41 1016; 74 995; 39 977
164; 658 1018; 638 982; 616 1018
165; 678 1028; 694 1003; 664 1002
166; 795 986; 767 1014; 804 1024
