0; 238 -7; 231 25; 262 16
1; 773 -5; 779 33; 809 9
2; 615 -7; 585 8; 613 26
3; 136 27; 88 10; 97 60
4; 165 8; 150 53; 197 44
5; 557 64; 600 42; 559 16
6; 700 48; 734 86; 750 38
7; 648 37; 626 80; 674 78
8; 96 86; 145 87; 122 44
9; 984 108; 986 60; 943 82
10; 842 123; 882 89; 832 72
11; 581 124; 630 106; 590 73
12; 221 127; 267 117; 235 82
13; 323 123; 320 151; 346 140
14; 488 125; 451 158; 499 173
15; 806 173; 852 159; 818 126
16; 719 131; 679 157; 722 179
17; 173 163; 217 187; 215 137
18; 952 192; 1002 205; 988 156
19; 143 193; 99 170; 100 220
20; 335 215; 385 201; 348 166
21; 215 219; 258 199; 219 172
22; 40 209; 86 227; 78 179
23; 501 200; 527 238; 547 197
24; 197 216; 154 191; 154 240
25; 828 228; 876 246; 868 195
26; -2 213; 18 247; 37 213
27; 787 263; 826 229; 777 213
28; 443 252; 489 263; 476 217
29; 84 265; 130 254; 97 220
30; 883 258; 834 242; 845 292
31; 956 259; 908 244; 919 294
32; 866 292; 912 298; 894 255
33; 434 253; 426 305; 475 286
34; 146 273; 102 294; 142 322
35; 670 311; 644 267; 619 311
36; 537 301; 580 332; 586 279
37; 238 333; 241 282; 195 305
38; 503 284; 460 308; 502 333
39; 908 327; 957 331; 936 287
40; 462 355; 449 306; 414 341
41; 782 356; 830 365; 813 319
42; 229 338; 180 332; 199 377
43; 985 326; 938 345; 978 376
44; 519 348; 554 383; 567 335
45; 881 342; 866 392; 917 380
46; 966 385; 926 348; 914 400
47; 232 365; 190 388; 231 413
48; 690 425; 729 385; 676 372
49; 441 382; 399 412; 446 433
50; 751 458; 794 433; 751 408
51; 641 456; 628 425; 607 451
52; 662 422; 657 471; 701 451
53; 441 436; 393 434; 415 476
54; 488 451; 529 483; 535 432
55; 563 475; 612 473; 585 432
56; 351 483; 393 462; 354 436
57; 946 467; 984 497; 991 449
58; 275 493; 319 478; 284 447
59; 129 478; 84 458; 89 507
60; 839 475; 876 509; 887 460
61; 637 521; 640 471; 596 493
62; 401 476; 359 503; 403 526
63; 412 529; 458 508; 416 479
64; 78 487; 38 516; 83 536
65; 320 496; 323 547; 366 519
66; 937 548; 976 519; 931 500
67; 728 505; 722 554; 768 535
68; 355 532; 380 575; 405 531
69; 892 574; 894 524; 849 546
70; 437 551; 400 541; 410 578
71; 474 577; 522 579; 499 536
72; 471 554; 427 560; 455 595
73; 335 592; 375 572; 338 548
74; 336 592; 313 556; 293 595
75; 869 585; 842 567; 839 599
76; 566 600; 612 614; 602 567
77; 129 587; 155 629; 179 585
78; 772 609; 721 587; 727 642
79; 259 633; 308 627; 278 588
80; 334 600; 345 644; 378 612
81; 512 622; 469 601; 472 649
82; 544 645; 591 636; 560 600
83; 876 629; 923 654; 921 602
84; 981 604; 954 643; 1001 646
85; 405 626; 426 668; 453 629
86; 159 657; 129 618; 110 663
87; 203 624; 198 671; 241 652
88; 366 681; 409 660; 369 633
89; 745 639; 746 671; 773 655
90; 1024 654; 991 668; 1019 689
91; 255 641; 232 683; 280 681
92; 757 681; 801 698; 794 651
93; 845 678; 892 705; 892 651
94; 278 666; 299 712; 329 672
95; 118 703; 162 715; 150 671
96; 325 721; 371 708; 337 675
97; 388 714; 407 701; 386 691
98; 277 701; 228 685; 238 736
99; 398 707; 405 734; 424 715
100; 843 688; 837 742; 887 721
101; 890 708; 917 750; 940 705
102; 679 701; 634 724; 676 751
103; 30 727; -2 719; 8 750
104; 507 773; 518 725; 472 740
105; 344 766; 319 719; 291 764
106; 514 774; 559 772; 534 734
107; 353 797; 397 769; 350 745
108; 891 803; 910 757; 861 764
109; 463 758; 469 808; 510 778
110; 557 790; 507 780; 523 828
111; 790 808; 744 791; 753 839
112; 510 794; 470 824; 516 843
113; 267 802; 232 834; 277 848
114; 228 823; 180 832; 212 869
115; 42 873; 83 845; 38 823
116; 650 893; 686 852; 633 842
117; 33 858; 0 837; -2 876
118; 898 870; 935 901; 943 853
119; 728 874; 752 913; 774 873
120; 585 891; 539 876; 549 923
121; 290 907; 336 913; 318 871
122; 387 904; 340 913; 371 949
123; 70 906; 26 922; 62 953
124; 268 961; 276 913; 230 931
125; 763 960; 764 914; 724 936
126; 810 953; 859 951; 833 909
127; 959 923; 917 945; 957 970
128; 431 922; 409 964; 456 962
129; 313 949; 337 986; 357 947
130; 906 965; 860 952; 872 999
131; 969 993; 1016 979; 980 945
132; 591 953; 583 999; 627 984
133; 538 956; 541 1006; 583 979
134; 932 1017; 935 973; 895 993
135; 312 968; 272 997; 318 1017
136; 244 1031; 277 1008; 240 991
137; 530 992; 482 975; 491 1025
138; 88 984; 80 1024; 118 1011
