0; 545 18; 531 67; 580 54
1; 835 78; 881 59; 842 29
2; 724 91; 763 60; 716 42
3; 274 125; 313 92; 265 74
4; 1028 139; 1008 101; 985 137
5; 50 122; 11 153; 58 172
6; 429 149; 456 191; 479 147
7; 224 212; 227 161; 181 184
8; 77 218; 121 190; 75 167
9; 481 166; 454 207; 503 210
10; 430 165; 400 207; 451 212
11; 107 201; 99 247; 143 231
12; 423 212; 382 240; 427 261
13; 850 267; 862 219; 814 232
14; 858 270; 905 262; 875 225
15; 802 298; 842 274; 802 251
16; 858 315; 894 280; 845 266
17; 668 295; 663 343; 707 324
18; 701 314; 709 276; 672 288
19; 787 305; 815 344; 835 301
20; 782 315; 762 359; 810 355
21; 416 379; 431 331; 382 342
22; 15 336; 5 389; 55 371
23; 188 392; 231 366; 187 341
24; 585 372; 628 386; 618 342
25; 793 404; 779 362; 750 396
26; 615 404; 580 368; 566 416
27; 712 419; 756 400; 718 372
28; 949 429; 964 382; 916 392
29; 822 437; 829 395; 789 410
30; 676 439; 690 410; 658 412
31; 95 457; 102 406; 55 425
32; 759 460; 796 428; 749 412
33; 363 426; 364 470; 402 447
34; 922 481; 900 435; 871 478
35; 558 440; 521 475; 570 489
36; 895 528; 925 488; 875 481
37; 622 552; 634 503; 586 517
38; 211 508; 188 557; 241 552
39; 539 514; 497 543; 543 564
40; 32 538; -1 565; 39 580
41; 334 591; 378 566; 334 540
42; 190 556; 144 575; 184 605
43; 81 610; 121 578; 73 560
44; 266 609; 314 594; 277 560
45; 504 622; 537 584; 488 573
46; 967 634; 982 587; 934 597
47; 1022 610; 999 623; 1022 636
48; 671 615; 691 661; 722 621
49; 544 684; 578 647; 529 636
50; 609 661; 570 693; 617 711
51; 212 720; 257 696; 214 669
52; 824 717; 824 675; 788 697
53; 828 684; 852 722; 873 682
54; 167 676; 154 728; 205 713
55; 973 688; 931 717; 977 739
56; 762 756; 784 713; 736 716
57; 531 726; 512 772; 561 766
58; 468 796; 439 762; 423 804
59; 486 808; 503 759; 452 769
60; 555 785; 596 816; 602 764
61; 843 791; 809 828; 859 840
62; 773 861; 776 810; 730 832
63; 922 826; 909 875; 959 862
64; 747 884; 736 837; 701 870
65; 805 873; 752 879; 783 922
66; 356 901; 404 922; 399 870
67; 127 930; 146 883; 96 890
68; 55 940; 88 902; 39 893
69; 727 965; 771 939; 726 914
70; 587 997; 587 951; 547 973
71; 586 951; 547 923; 541 971
72; 594 957; 638 973; 630 926
73; 198 998; 229 958; 179 951
74; 718 1017; 766 1012; 737 973
75; 278 1027; 317 1000; 274 980
76; 587 1031; 597 991; 557 1003
