0; 165 -6; 155 34; 195 23
1; 607 -4; 567 13; 602 39
2; 762 -1; 724 26; 766 45
3; 33 -7; 30 33; 66 15
4; 789 28; 811 71; 837 31
5; 290 81; 327 51; 283 34
6; -2 75; 40 57; 4 29
7; 461 81; 503 57; 461 33
8; 592 52; 543 49; 564 93
9; 858 108; 900 88; 862 61
10; 472 84; 511 112; 515 64
11; 710 119; 755 100; 716 71
12; 978 147; 981 99; 938 120
13; 249 104; 208 129; 250 152
14; 709 129; 747 157; 752 111
15; 138 160; 144 112; 100 131
16; 887 160; 929 180; 925 134
17; 122 167; 87 132; 75 179
18; 1026 166; 993 137; 984 180
19; 703 190; 746 165; 703 141
20; 788 193; 793 146; 749 166
21; 375 173; 417 195; 415 147
22; 491 179; 535 189; 521 146
23; 639 159; 592 160; 616 200
24; 647 167; 626 210; 673 207
25; 2 211; 30 195; 3 179
26; 160 187; 185 228; 208 186
27; 73 230; 71 182; 31 208
28; 267 196; 219 195; 242 237
29; 845 204; 797 203; 820 245
30; 476 218; 434 197; 437 244
31; 375 217; 408 252; 422 206
32; 575 220; 606 257; 623 211
33; 713 206; 675 234; 718 253
34; 147 230; 100 222; 118 267
35; 966 250; 1012 261; 999 216
36; 863 221; 823 251; 869 270
37; 427 252; 460 287; 474 241
38; 659 288; 706 290; 685 248
39; 108 272; 60 272; 84 313
40; 434 288; 394 260; 390 308
41; 979 278; 1010 313; 1024 268
42; 916 321; 957 296; 915 272
43; 328 326; 361 289; 313 279
44; 137 315; 182 331; 173 284
45; 696 310; 654 291; 658 338
46; 410 315; 448 345; 455 298
47; 906 305; 865 329; 906 353
48; 51 357; 21 319; 3 364
49; 605 342; 556 342; 580 384
50; 770 374; 817 364; 785 328
51; 159 360; 114 347; 125 393
52; 316 393; 352 365; 309 348
53; 917 357; 873 376; 912 405
54; 535 405; 583 396; 551 359
55; 397 381; 349 375; 368 419
56; 953 394; 991 422; 996 376
57; 585 426; 630 411; 595 380
58; 303 412; 347 433; 343 385
59; 162 434; 209 416; 170 385
60; 642 423; 689 429; 671 385
61; 790 445; 794 396; 750 417
62; 842 422; 801 400; 803 447
63; 917 402; 914 451; 958 430
64; 568 427; 523 413; 534 459
65; 267 441; 228 414; 224 461
66; 715 467; 758 445; 718 419
67; 604 471; 652 465; 623 426
68; 133 482; 165 446; 118 436
69; 331 466; 293 437; 287 485
70; 923 463; 966 484; 963 437
71; 474 488; 519 467; 478 439
72; 149 491; 196 496; 177 453
73; 583 466; 537 480; 572 513
74; 750 509; 748 460; 706 487
75; 404 497; 450 513; 440 464
76; 684 489; 639 475; 650 521
77; 934 479; 889 491; 922 524
78; 25 493; 58 528; 72 482
79; 839 485; 845 535; 885 505
80; 935 503; 967 537; 981 492
81; 167 512; 123 492; 128 540
82; 701 506; 705 558; 748 529
83; 611 546; 586 504; 562 547
84; 403 508; 362 537; 408 558
85; 317 525; 270 519; 288 563
86; 206 547; 177 508; 158 552
87; 517 572; 560 548; 517 523
88; 1027 536; 984 552; 1019 581
89; 859 555; 816 534; 819 582
90; 265 554; 237 562; 258 583
91; 704 571; 657 556; 667 604
92; 93 576; 44 569; 63 615
93; 216 561; 216 616; 264 588
94; 434 594; 478 613; 473 566
95; 831 606; 787 585; 791 634
96; 959 630; 1007 626; 980 586
97; 393 629; 437 651; 434 602
98; 338 626; 373 660; 384 612
99; 811 632; 852 663; 859 613
100; 863 631; 895 669; 912 623
101; 638 646; 598 617; 592 666
102; 173 650; 132 625; 131 672
103; 443 668; 400 645; 402 694
104; 770 686; 817 677; 786 640
105; 536 694; 583 683; 550 647
106; 891 691; 866 650; 842 692
107; 131 676; 82 673; 105 717
108; 943 694; 898 672; 901 722
109; 438 709; 486 713; 466 670
110; 175 719; 168 671; 130 701
111; 41 713; 81 738; 82 691
112; 381 716; 419 746; 426 698
113; 1029 733; 994 716; 997 754
114; 877 728; 840 698; 832 745
115; 218 728; 258 756; 262 707
116; 572 728; 529 707; 533 755
117; 306 733; 349 757; 348 708
118; 682 722; 634 716; 653 761
119; 45 731; -2 717; 10 764
120; 575 744; 620 759; 611 712
121; 454 764; 502 773; 486 727
122; 565 795; 568 746; 524 767
123; 31 769; 71 796; 75 748
124; 1026 764; 994 770; 1016 795
125; 356 765; 306 756; 322 803
126; 250 782; 294 802; 290 754
127; 573 804; 617 784; 577 755
128; 937 778; 886 774; 907 821
129; 335 812; 384 814; 361 771
130; 218 792; 171 792; 194 833
131; 101 792; 112 841; 149 807
132; 460 822; 509 833; 495 785
133; 136 838; 184 840; 161 798
134; 553 856; 549 806; 508 834
135; 550 791; 503 776; 514 825
136; 748 833; 704 816; 711 863
137; 375 837; 329 819; 337 868
138; 856 837; 893 868; 901 821
139; 912 874; 955 848; 912 824
140; 804 854; 854 888; 858 828
141; 94 860; 42 862; 70 905
142; 437 885; 483 903; 476 853
143; 180 886; 142 856; 135 904
144; 636 891; 684 902; 669 855
145; 902 885; 856 865; 862 914
146; 77 909; 127 905; 98 864
147; 208 890; 238 928; 256 883
148; 295 919; 339 941; 336 891
149; 462 925; 416 905; 422 955
150; 188 910; 139 918; 170 957
151; 944 952; 982 985; 991 936
152; 231 966; 185 947; 192 996
153; 929 961; 877 962; 904 1006
154; -4 969; 6 999; 27 975
155; 324 967; 270 962; 293 1011
156; 757 988; 721 952; 708 1001
157; 370 985; 322 973; 336 1020
158; 853 980; 806 991; 839 1026
159; 71 1028; 70 982; 31 1006
160; 648 1019; 637 979; 608 1008
