0; 412 13; 369 6; 384 47
1; 116 25; 78 13; 86 52
2; 1004 28; 963 24; 980 62
3; 914 38; 875 27; 885 67
4; 763 81; 799 63; 766 41
5; 402 85; 434 61; 397 46
6; 226 94; 266 103; 254 64
7; 301 81; 263 73; 275 110
8; 194 116; 225 90; 186 77
9; 753 122; 794 110; 763 81
10; 463 90; 429 110; 463 130
11; 133 123; 169 137; 164 98
12; 197 127; 233 137; 223 101
13; 816 122; 849 146; 853 106
14; 201 129; 173 114; 174 147
15; 943 111; 911 135; 947 151
16; 861 148; 897 162; 892 123
17; 431 151; 464 174; 468 134
18; 838 161; 817 128; 799 163
19; 102 165; 141 168; 125 133
20; 191 173; 229 164; 202 135
21; 652 143; 618 162; 652 183
22; 47 163; 80 184; 82 145
23; 887 166; 850 151; 855 190
24; 902 185; 942 190; 926 153
25; 37 218; 73 201; 40 178
26; 672 218; 707 200; 674 179
27; 768 211; 806 225; 800 185
28; 330 223; 368 230; 355 193
29; 470 213; 434 199; 440 238
30; 923 240; 926 202; 892 218
31; 681 229; 718 242; 710 203
32; 778 227; 740 218; 750 256
33; 813 268; 846 244; 809 227
34; 491 269; 494 229; 458 246
35; 498 230; 505 270; 536 244
36; 920 258; 958 271; 951 231
37; 92 255; 56 239; 60 278
38; 191 271; 153 264; 167 301
39; 207 304; 247 308; 230 271
40; 456 293; 487 316; 491 277
41; 427 325; 468 324; 446 290
42; 418 314; 380 301; 388 340
43; 338 336; 306 313; 302 352
44; 171 355; 172 315; 137 334
45; 220 344; 260 353; 248 314
46; 555 348; 591 367; 590 326
47; 263 355; 302 363; 289 325
48; 366 337; 368 377; 401 355
49; 94 379; 134 377; 113 343
50; 589 370; 549 370; 569 405
51; 91 380; 52 393; 83 420
52; 742 419; 776 399; 742 380
53; 112 448; 151 456; 138 418
54; 132 419; 96 412; 107 446
55; 121 401; 147 430; 159 392
56; 640 405; 667 437; 680 397
57; 839 431; 878 434; 861 398
58; 248 439; 287 443; 270 407
59; 351 442; 388 453; 379 415
60; 65 459; 106 457; 84 422
61; 163 430; 149 468; 189 461
62; 710 449; 674 436; 680 474
63; 629 453; 659 479; 666 440
64; 729 488; 763 469; 730 449
65; 119 460; 82 464; 104 494
66; 651 485; 622 458; 613 497
67; 883 506; 885 467; 850 485
68; 442 481; 405 474; 418 509
69; 116 498; 154 501; 138 467
70; 383 511; 388 473; 353 488
71; 893 511; 926 492; 892 473
72; 700 513; 737 513; 718 481
73; 521 509; 557 523; 551 485
74; 424 522; 464 521; 443 487
75; 113 505; 75 499; 89 535
76; 652 532; 646 493; 616 518
77; 293 522; 331 531; 320 494
78; 611 502; 573 514; 602 541
79; 15 531; 53 532; 35 498
80; 955 514; 916 508; 931 545
81; 104 543; 143 536; 118 505
82; 781 523; 745 512; 754 548
83; 278 517; 275 556; 310 539
84; 516 552; 476 554; 497 588
85; 828 575; 868 575; 848 540
86; 1008 562; 970 552; 979 590
87; 222 577; 259 590; 252 552
88; 399 555; 362 569; 392 594
89; 903 600; 905 560; 869 578
90; 742 606; 773 581; 736 567
91; 958 581; 920 573; 931 610
92; 786 622; 815 595; 778 583
93; 997 586; 967 613; 1005 625
94; 567 629; 607 637; 594 599
95; 903 623; 932 652; 943 612
96; 109 622; 133 654; 149 618
97; 842 670; 877 653; 845 631
98; 229 668; 217 630; 190 659
99; 154 683; 187 662; 152 644
100; 595 660; 557 650; 567 688
101; 971 659; 933 654; 948 690
102; 386 670; 410 699; 423 664
103; 111 690; 150 693; 133 657
104; 514 672; 476 668; 491 702
105; 820 659; 810 696; 847 686
106; 418 694; 456 698; 440 663
107; 342 705; 377 690; 346 667
108; 220 693; 191 668; 184 705
109; 536 667; 528 707; 566 693
110; 606 693; 569 694; 589 726
111; 520 692; 488 713; 523 730
112; 603 728; 640 716; 611 691
113; 844 694; 811 715; 846 733
114; 132 700; 102 722; 137 737
115; 342 724; 378 738; 373 699
116; 422 715; 385 706; 396 743
117; 302 725; 269 704; 267 743
118; 551 740; 591 737; 569 704
119; 76 725; 39 718; 52 754
120; 689 748; 651 735; 659 774
121; 535 740; 542 780; 573 754
122; 811 757; 775 741; 779 780
123; 530 740; 495 760; 530 781
124; 210 788; 233 821; 250 785
125; 39 794; 60 827; 78 793
126; 726 816; 765 813; 743 781
127; 682 797; 705 828; 720 792
128; 96 807; 62 829; 98 848
129; 403 843; 444 843; 424 807
130; 203 859; 237 843; 206 821
131; 22 868; 53 844; 16 830
132; 804 872; 839 887; 834 849
133; 726 852; 689 843; 700 880
134; 902 840; 871 863; 907 879
135; 555 857; 519 846; 527 883
136; 647 845; 615 867; 650 884
137; 761 891; 784 859; 745 856
138; 413 870; 450 886; 445 846
139; 674 850; 658 888; 698 883
140; 132 856; 103 882; 140 894
141; 814 886; 785 859; 777 898
142; 200 866; 203 905; 235 882
143; 998 900; 1023 908; 1017 882
144; 147 891; 167 925; 187 891
145; 818 921; 858 927; 843 889
146; 107 909; 133 939; 146 901
147; 75 940; 115 949; 103 910
148; 141 953; 179 939; 148 913
149; 94 960; 59 980; 93 1000
150; 290 975; 251 968; 264 1005
151; 805 1008; 840 986; 804 967
152; 151 976; 119 999; 155 1015
153; 52 1025; 85 1005; 51 987
154; 355 990; 360 1026; 388 1003
155; 744 1025; 755 991; 720 998
