0; 350 -5; 306 6; 337 39
1; 382 23; 398 2; 373 -1
2; 928 56; 953 15; 905 14
3; 682 17; 656 59; 706 61
4; 656 -8; 622 18; 661 34
5; 533 102; 581 89; 546 54
6; 159 112; 185 72; 137 70
7; 513 65; 482 103; 530 112
8; 608 132; 634 91; 585 89
9; 453 91; 441 137; 487 125
10; 186 151; 191 102; 146 122
11; 580 179; 610 138; 560 133
12; 54 190; 83 148; 32 145
13; 901 258; 922 211; 870 217
14; 200 264; 237 231; 190 216
15; 620 299; 659 268; 613 250
16; 266 274; 216 270; 238 315
17; 773 307; 822 298; 790 260
18; 75 292; 97 323; 113 288
19; 760 323; 775 275; 727 286
20; 59 298; 78 314; 82 290
21; 172 345; 219 331; 183 297
22; 256 348; 300 327; 260 299
23; 299 354; 347 347; 317 309
24; 724 359; 686 340; 688 381
25; 744 316; 692 336; 736 370
26; 606 368; 617 320; 569 335
27; 750 359; 797 355; 770 316
28; 997 371; 1020 357; 996 344
29; 227 383; 269 363; 231 337
30; 789 365; 742 358; 759 402
31; 995 369; 1004 395; 1022 374
32; 416 362; 367 379; 406 413
33; 735 364; 700 393; 742 408
34; 314 365; 307 412; 351 395
35; 615 365; 596 411; 645 404
36; 34 378; -1 411; 44 424
37; 222 414; 173 405; 189 452
38; 457 407; 408 409; 434 451
39; 615 480; 663 468; 628 432
40; 794 441; 770 484; 819 484
41; 196 499; 237 472; 193 450
42; 101 501; 128 461; 80 457
43; 1029 476; 996 452; 991 493
44; 728 460; 701 500; 749 504
45; 885 477; 842 502; 885 526
46; 144 516; 168 553; 188 515
47; 163 473; 137 510; 182 514
48; 135 534; 131 485; 90 512
49; 238 530; 222 484; 190 521
50; 561 485; 518 511; 562 534
51; 332 538; 373 519; 337 493
52; 324 539; 311 495; 280 529
53; 196 523; 199 567; 235 542
54; 987 532; 932 529; 957 579
55; 870 580; 890 535; 842 540
56; 231 572; 278 570; 252 531
57; 325 544; 280 546; 305 584
58; 377 553; 325 534; 334 589
59; 186 540; 149 572; 195 588
60; 451 543; 444 591; 489 574
61; 522 598; 566 576; 525 549
62; 56 564; 18 572; 44 600
63; 43 572; 67 595; 75 563
64; 816 604; 855 576; 810 556
65; 151 621; 195 623; 174 584
66; 539 649; 572 610; 522 601
67; 52 650; 90 622; 47 603
68; 863 652; 868 603; 823 623
69; 319 611; 270 623; 305 659
70; 771 662; 788 615; 740 624
71; 185 625; 141 639; 175 670
72; 538 654; 528 689; 564 679
73; 191 715; 196 666; 151 686
74; 149 684; 107 714; 154 736
75; 894 698; 854 727; 900 747
76; 534 754; 570 720; 523 706
77; 806 753; 852 729; 808 701
78; 856 741; 807 757; 846 792
79; 947 802; 998 803; 973 759
80; 548 788; 503 813; 548 839
81; 468 849; 485 801; 436 811
82; 826 805; 785 835; 831 855
83; 377 858; 427 853; 398 813
84; 551 864; 599 847; 561 814
85; 215 867; 266 864; 238 822
86; 772 887; 803 846; 752 841
87; 124 904; 173 895; 141 857
88; 296 899; 345 910; 329 861
89; 491 891; 509 940; 542 900
90; 913 949; 951 914; 902 899
91; -6 922; 18 958; 37 920
92; 48 941; 17 979; 65 987
93; 899 960; 852 982; 895 1012
94; 556 1025; 572 978; 523 988
