0; 255 37; 288 10; 249 -5
1; 295 30; 321 13; 293 -1
2; 35 49; 63 0; 7 0
3; 761 76; 774 16; 714 35
4; 181 18; 168 81; 229 61
5; 798 35; 776 94; 838 83
6; 86 108; 103 47; 42 63
7; 661 117; 712 79; 653 54
8; 959 50; 933 108; 996 101
9; 697 91; 656 131; 711 146
10; 524 166; 574 137; 523 107
11; 332 110; 295 157; 354 166
12; 61 195; 117 170; 67 134
13; 113 120; 68 128; 98 163
14; 48 179; 51 123; 1 148
15; 727 143; 665 160; 711 205
16; 473 209; 494 151; 434 162
17; 179 209; 186 148; 129 173
18; 632 212; 633 153; 581 182
19; 237 215; 260 161; 202 167
20; 966 217; 987 160; 927 170
21; 875 233; 903 183; 846 184
22; 732 176; 718 231; 773 215
23; 918 181; 905 238; 961 220
24; 364 248; 404 206; 348 192
25; 679 184; 646 231; 703 237
26; 562 191; 528 236; 585 242
27; 792 209; 821 251; 844 205
28; 323 259; 335 201; 279 220
29; 262 260; 270 201; 216 224
30; 818 272; 786 209; 747 267
31; 490 287; 505 228; 447 244
32; 1012 230; 964 252; 1007 282
33; 518 231; 511 293; 568 268
34; 692 245; 701 299; 743 264
35; 785 326; 815 278; 759 277
36; 459 266; 442 325; 501 310
37; 702 358; 745 313; 684 299
38; 856 295; 851 357; 908 330
39; 175 368; 222 324; 161 306
40; 636 374; 666 323; 607 323
41; 758 389; 800 344; 740 329
42; 571 335; 530 382; 591 393
43; 732 404; 739 347; 686 369
44; 661 423; 672 362; 614 384
45; 118 358; 85 410; 147 413
46; 873 365; 822 402; 879 428
47; 791 369; 745 414; 807 431
48; 624 465; 639 410; 583 424
49; 115 473; 159 433; 102 415
50; 914 490; 956 444; 896 430
51; 498 491; 533 442; 473 437
52; 5 447; 4 484; 37 466
53; 276 508; 331 477; 277 445
54; 957 449; 933 502; 991 496
55; 215 519; 230 460; 171 476
56; 752 518; 797 476; 739 458
57; 562 525; 587 469; 526 475
58; 469 463; 449 521; 509 510
59; 629 541; 677 500; 618 479
60; 154 471; 118 522; 180 527
61; 912 483; 864 519; 919 543
62; 429 553; 443 492; 382 511
63; 84 500; 31 537; 89 565
64; 222 578; 236 518; 176 536
65; 735 577; 767 527; 708 524
66; 1029 542; 990 526; 996 567
67; 145 593; 151 534; 97 559
68; 464 620; 482 563; 424 576
69; 87 632; 131 592; 74 574
70; 888 638; 937 608; 886 580
71; 700 581; 675 634; 733 629
72; 489 588; 473 644; 529 630
73; 265 595; 228 637; 283 649
74; 763 663; 804 619; 745 606
75; 205 610; 172 648; 221 657
76; 40 608; 29 667; 86 647
77; 866 615; 817 652; 874 675
78; 557 641; 498 648; 534 696
79; 823 661; 815 727; 876 701
80; 219 677; 201 744; 268 726
81; -9 727; 21 760; 34 718
82; 927 766; 955 708; 890 712
83; 340 788; 361 731; 302 742
84; 477 791; 494 732; 435 747
85; 375 728; 355 782; 411 772
86; 939 741; 948 794; 990 760
87; 179 798; 200 745; 144 754
88; 902 738; 852 765; 901 795
89; 726 737; 684 783; 746 797
90; 127 741; 71 771; 126 804
91; 437 834; 450 772; 390 791
92; 215 839; 267 807; 213 778
93; 959 794; 902 829; 961 860
94; 86 887; 102 823; 39 842
95; 417 834; 403 898; 465 878
96; 839 913; 884 867; 821 851
97; -5 889; 46 909; 38 855
98; 777 874; 720 899; 770 936
99; 225 870; 167 901; 223 936
100; 1026 913; 981 875; 971 933
101; 829 897; 775 922; 824 956
102; 112 958; 173 932; 120 893
103; 554 980; 619 958; 568 913
104; 1028 970; 1012 927; 983 963
105; 469 951; 404 961; 445 1012
106; 717 945; 663 983; 723 1011
107; 808 1022; 857 981; 797 959
108; 390 1041; 386 954; 312 1001
109; 163 1023; 214 989; 159 961
110; 996 1025; 1018 1008; 992 997
111; 558 1032; 593 990; 540 981
