0; 26 -4; 31 27; 56 7
1; 318 37; 279 22; 286 63
2; 839 73; 858 109; 879 74
3; 837 69; 875 56; 845 30
4; 783 89; 816 68; 781 50
5; 285 65; 245 57; 259 96
6; 726 71; 689 60; 697 98
7; 992 74; 953 63; 963 102
8; 888 89; 858 116; 896 128
9; 771 133; 801 107; 763 94
10; 299 118; 261 108; 271 146
11; 815 111; 832 150; 857 116
12; 658 156; 691 136; 657 117
13; 68 125; 29 138; 60 165
14; 731 143; 691 139; 707 176
15; 693 149; 664 171; 698 185
16; 477 178; 515 187; 504 150
17; 555 177; 591 189; 583 151
18; 797 177; 836 189; 827 150
19; 43 202; 58 165; 18 170
20; 674 221; 704 196; 667 183
21; 119 200; 82 185; 87 225
22; 825 202; 789 190; 796 228
23; 744 208; 706 196; 714 235
24; 106 227; 145 233; 130 196
25; 1003 216; 967 206; 976 243
26; 919 227; 956 243; 951 203
27; 545 233; 582 245; 574 207
28; 677 228; 641 218; 650 254
29; 786 232; 752 216; 754 254
30; 405 243; 368 225; 371 265
31; 77 265; 116 256; 89 227
32; 1028 272; 997 263; 1004 294
33; 969 283; 997 254; 958 244
34; 815 271; 780 252; 781 291
35; 522 303; 548 273; 508 265
36; 338 291; 374 308; 371 268
37; 476 297; 514 308; 504 269
38; 576 319; 583 279; 545 293
39; 933 327; 930 288; 898 311
40; 781 334; 818 319; 786 294
41; 526 349; 555 318; 513 309
42; 976 311; 944 334; 980 350
43; 491 377; 522 351; 484 338
44; 375 356; 338 341; 343 380
45; 562 366; 526 352; 531 390
46; 847 382; 810 366; 815 406
47; 924 391; 886 379; 894 418
48; 992 420; 1025 402; 993 382
49; 973 451; 1003 444; 981 421
50; 596 424; 562 445; 598 464
51; 90 429; 57 451; 92 468
52; 347 473; 385 482; 374 445
53; 922 489; 956 470; 923 450
54; 225 481; 261 495; 256 456
55; 127 472; 100 490; 129 505
56; 131 449; 102 461; 126 480
57; 741 512; 769 487; 732 475
58; 972 477; 942 502; 978 516
59; 215 478; 183 502; 219 518
60; 635 524; 673 534; 663 496
61; 945 516; 908 504; 917 543
62; 904 542; 903 502; 869 524
63; 866 528; 827 522; 842 559
64; 336 551; 374 563; 366 524
65; 512 564; 504 525; 474 551
66; 681 549; 644 538; 654 576
67; 142 576; 104 566; 114 604
68; 37 612; 34 572; 1 595
69; 183 587; 143 579; 156 618
70; 674 591; 639 577; 644 614
71; 729 594; 693 579; 698 618
72; 815 605; 806 620; 824 621
73; 808 578; 782 599; 813 611
74; 820 615; 854 604; 828 580
75; 434 641; 472 649; 460 613
76; 827 657; 851 627; 813 621
77; 349 634; 309 629; 324 666
78; 640 649; 677 660; 668 622
79; 939 638; 900 636; 917 670
80; 473 670; 512 676; 498 639
81; 861 647; 829 668; 863 685
82; 397 674; 365 651; 361 690
83; 432 665; 459 692; 469 656
84; 904 667; 866 664; 882 699
85; 953 688; 991 695; 979 658
86; 334 666; 316 696; 351 698
87; 502 697; 473 670; 465 708
88; 887 696; 919 713; 917 677
89; 396 683; 364 699; 394 719
90; 808 735; 839 713; 804 696
91; 332 727; 371 736; 359 698
92; 934 708; 903 732; 940 747
93; 89 737; 126 750; 119 711
94; 479 734; 441 722; 450 761
95; 532 745; 496 731; 501 769
96; 64 782; 99 762; 63 742
97; 557 789; 592 770; 557 749
98; 102 783; 141 793; 130 754
99; 150 783; 180 808; 186 769
100; 731 793; 696 777; 700 815
101; 603 819; 636 802; 605 781
102; 281 802; 244 791; 253 829
103; 48 831; 40 786; 5 815
104; 142 795; 145 835; 178 813
105; 235 804; 204 827; 240 842
106; 907 842; 903 803; 871 826
107; 104 849; 142 862; 135 823
108; 412 826; 381 851; 418 865
109; 249 888; 276 860; 238 851
110; 695 872; 663 863; 671 895
111; 870 898; 873 861; 840 877
112; 483 903; 486 866; 452 882
113; 223 901; 212 864; 185 892
114; 1017 911; 1021 873; 986 889
115; 629 907; 667 911; 652 876
116; 559 903; 594 916; 588 879
117; 530 896; 494 887; 504 923
118; 156 922; 187 901; 154 884
119; 437 925; 471 908; 439 887
120; 706 927; 699 887; 668 913
121; 264 907; 228 898; 238 934
122; 549 893; 520 917; 555 930
123; 740 941; 744 904; 710 919
124; 703 944; 701 978; 731 962
125; 722 927; 703 943; 726 951
126; 198 905; 169 928; 203 942
127; 757 948; 790 928; 756 909
128; 600 924; 564 918; 577 952
129; 651 953; 654 916; 621 932
130; 441 962; 479 961; 459 929
131; 492 964; 516 949; 491 936
132; 486 907; 472 932; 501 932
133; 664 970; 698 952; 665 931
134; 553 967; 540 931; 515 960
135; 398 946; 360 941; 374 977
136; 209 942; 222 978; 247 948
137; 991 980; 1025 965; 995 944
138; 772 960; 734 955; 749 990
139; 22 970; -1 961; 3 986
140; 558 980; 520 971; 531 1008
141; 520 1002; 514 965; 485 989
142; 476 961; 477 990; 501 975
143; 428 968; 397 990; 432 1005
144; 407 1026; 427 1007; 401 999
145; 475 1008; 453 975; 435 1010
146; 94 1025; 133 1006; 97 982
147; 271 1026; 299 1002; 265 990
148; 542 1017; 576 1011; 554 984
149; 576 1017; 616 1021; 600 985
150; 629 1027; 657 1006; 625 992
