0; 888 83; 873 125; 917 117
1; 860 99; 902 86; 870 56
2; 154 144; 98 176; 154 208
3; 203 211; 146 234; 194 271
4; 392 349; 452 339; 413 293
5; 141 464; 186 462; 162 423
6; 365 546; 384 491; 328 501
7; 920 565; 976 549; 934 508
8; 658 598; 680 544; 622 552
9; 266 557; 239 608; 296 606
10; 419 716; 472 693; 426 659
11; 563 670; 532 717; 588 719
12; 268 756; 286 704; 232 714
13; 819 793; 874 771; 828 734
14; 559 859; 604 820; 548 802
15; 876 794; 850 848; 910 844
16; 420 927; 371 955; 419 983
17; 110 1000; 131 949; 76 956
18; 60 1031; 104 1012; 66 984
