0; 576 -1; 539 8; 565 36
1; 253 76; 304 72; 276 30
2; 68 48; 93 92; 119 48
3; 882 79; 932 81; 909 37
4; 1027 58; 979 48; 994 94
5; 832 75; 811 121; 861 116
6; 195 173; 246 161; 211 123
7; 846 209; 889 180; 842 157
8; 831 219; 836 168; 790 190
9; 466 213; 517 203; 483 164
10; 715 217; 764 219; 741 175
11; 803 253; 798 203; 757 233
12; 91 223; 41 230; 72 270
13; 169 240; 192 285; 219 243
14; 84 279; 132 267; 98 231
15; 32 273; 4 246; -5 283
16; 19 280; 57 264; 24 239
17; 139 294; 190 294; 164 250
18; 28 300; 73 321; 69 272
19; 197 326; 246 308; 206 274
20; 308 306; 336 347; 358 301
21; 460 352; 463 303; 420 324
22; 368 331; 400 372; 420 323
23; 89 357; 140 355; 113 312
24; 583 371; 590 319; 541 339
25; 148 341; 182 376; 195 329
26; 468 358; 467 410; 513 385
27; 822 412; 826 466; 871 436
28; -9 473; 11 499; 23 468
29; 235 508; 266 469; 216 462
30; 823 520; 828 466; 779 489
31; 631 542; 676 512; 628 489
32; 728 533; 780 523; 745 483
33; 735 550; 774 585; 784 534
34; 698 558; 652 534; 654 586
35; 260 549; 294 588; 311 538
36; 361 549; 312 547; 334 590
37; 279 593; 276 646; 323 622
38; 100 662; 99 609; 54 637
39; 41 589; 46 640; 88 610
40; 676 692; 708 648; 654 642
41; 681 614; 654 631; 682 647
42; 1002 670; 959 639; 954 692
43; 83 683; 37 662; 41 713
44; 620 760; 660 727; 611 709
45; 542 775; 583 771; 559 738
46; 559 753; 595 739; 565 715
47; 921 744; 947 789; 974 744
48; 486 777; 539 775; 510 731
49; 958 824; 925 782; 905 832
50; 783 853; 755 808; 730 855
51; 433 848; 395 811; 382 862
52; 301 863; 350 852; 316 815
53; 18 844; 43 890; 70 845
54; 941 848; 968 893; 993 847
55; 498 876; 461 839; 447 890
56; 716 863; 717 917; 763 889
57; 527 916; 578 929; 563 878
58; 267 936; 259 883; 217 917
59; 456 899; 481 945; 508 900
60; 267 923; 314 943; 308 892
61; 707 945; 668 906; 655 959
62; 66 989; 120 988; 93 942
63; 762 1029; 765 997; 736 1011
64; 825 991; 794 948; 772 996
65; 368 973; 399 1019; 423 970
66; 997 1026; 991 986; 959 1012
67; 180 1027; 209 1015; 184 996
68; 296 1027; 328 1016; 302 994
69; 518 1029; 554 998; 509 982
