0; 29 44; 66 53; 56 16
1; 801 65; 822 97; 839 62
2; 954 91; 990 91; 972 60
3; 190 67; 186 104; 220 89
4; 504 80; 525 109; 540 76
5; 957 106; 922 96; 931 132
6; 546 146; 571 112; 529 108
7; 515 151; 525 115; 488 124
8; 926 157; 948 186; 962 153
9; 962 191; 987 217; 998 183
10; 643 211; 619 181; 605 217
11; 794 233; 818 259; 828 225
12; 665 234; 633 253; 666 271
13; 190 269; 159 246; 154 284
14; 853 278; 881 304; 889 267
15; 809 289; 772 293; 794 323
16; 315 311; 351 316; 338 282
17; 992 301; 954 302; 974 334
18; 839 321; 862 351; 877 316
19; 703 355; 739 348; 715 321
20; 465 339; 489 367; 501 333
21; 833 388; 848 354; 812 358
22; 391 408; 403 377; 370 382
23; 785 408; 818 390; 786 370
24; 690 387; 654 376; 663 413
25; 578 396; 552 394; 563 418
26; -6 404; 21 413; 15 386
27; 177 411; 141 412; 159 443
28; 878 421; 906 446; 914 409
29; 777 447; 781 411; 748 426
30; 866 449; 873 415; 840 426
31; 172 451; 209 447; 187 417
32; 840 421; 799 436; 832 464
33; 828 382; 832 419; 862 397
34; 357 455; 385 482; 394 444
35; 85 470; 121 478; 110 443
36; 146 486; 184 481; 161 451
37; 388 481; 413 508; 424 473
38; 689 484; 652 493; 679 520
39; 325 488; 291 506; 323 526
40; 878 543; 882 506; 848 521
41; 497 524; 525 549; 532 512
42; 938 519; 933 554; 966 541
43; 292 584; 296 547; 262 562
44; 749 574; 724 546; 712 582
45; 926 646; 961 630; 930 608
46; 965 633; 993 658; 1000 620
47; 654 667; 683 688; 687 652
48; 67 657; 30 664; 55 692
49; 343 661; 363 694; 381 661
50; 308 699; 314 662; 279 675
51; 352 692; 332 659; 313 693
52; 625 700; 659 697; 640 669
53; 242 675; 215 700; 251 710
54; 167 695; 159 731; 195 719
55; 294 759; 331 751; 305 723
56; 886 757; 922 755; 903 725
57; 469 747; 493 772; 503 739
58; 155 759; 179 788; 192 753
59; 190 783; 227 775; 203 747
60; 313 776; 277 764; 285 801
61; 643 805; 680 799; 657 770
62; 183 827; 218 812; 187 790
63; 537 852; 515 821; 500 856
64; 562 877; 532 853; 527 891
65; 464 909; 476 873; 440 881
66; 959 883; 978 917; 997 884
67; 443 925; 428 960; 466 955
68; 661 964; 637 935; 624 970
69; 642 979; 634 1013; 667 1003
70; 487 1025; 484 987; 453 1009
71; 684 991; 673 1022; 705 1016
