0; 567 -8; 559 34; 600 20
1; -3 29; 30 27; 12 0
2; 498 39; 512 86; 546 50
3; 292 40; 301 87; 338 56
4; 545 87; 593 72; 556 39
5; 399 92; 440 68; 399 44
6; 594 73; 623 113; 643 67
7; 694 115; 733 85; 687 67
8; 959 93; 919 68; 917 115
9; 157 89; 114 76; 124 121
10; 501 127; 499 78; 457 104
11; 629 133; 592 100; 582 148
12; 583 125; 538 109; 547 156
13; 430 147; 478 152; 458 107
14; 931 161; 935 113; 892 133
15; 59 160; 107 165; 86 121
16; 755 157; 800 169; 788 124
17; 37 150; -4 145; 12 183
18; 276 173; 319 186; 309 142
19; 346 159; 378 193; 391 149
20; 843 198; 846 149; 802 171
21; 607 175; 564 151; 565 201
22; 327 160; 323 206; 364 186
23; 56 170; 12 200; 60 222
24; 993 222; 981 178; 949 210
25; 403 192; 426 232; 450 192
26; 793 239; 832 205; 783 188
27; 335 209; 363 246; 381 204
28; 722 217; 750 262; 774 216
29; 552 248; 518 263; 548 285
30; 511 223; 480 233; 504 255
31; 510 219; 518 256; 547 231
32; 867 264; 907 240; 867 217
33; 439 250; 400 222; 396 270
34; 554 277; 594 258; 558 232
35; 132 264; 93 238; 90 285
36; 757 298; 733 253; 707 297
37; 1020 294; 989 261; 976 304
38; 847 296; 864 313; 870 289
39; 569 324; 587 287; 546 289
40; 549 301; 498 283; 509 336
41; 898 308; 940 335; 942 285
42; 864 313; 844 323; 863 335
43; 64 342; 40 298; 14 340
44; 1023 320; 977 309; 991 355
45; 749 363; 752 315; 709 337
46; 526 340; 563 372; 572 324
47; 964 322; 946 362; 989 357
48; 297 356; 267 324; 255 365
49; 934 382; 940 338; 898 354
50; 355 361; 317 335; 313 381
51; 599 392; 632 366; 593 350
52; 736 376; 689 363; 701 411
53; 1027 390; 1001 358; 986 396
54; 150 385; 184 416; 195 371
55; 633 383; 664 419; 680 375
56; 441 394; 403 369; 400 415
57; 838 394; 797 366; 793 415
58; 190 409; 235 404; 208 368
59; 288 402; 251 370; 242 417
60; 591 402; 556 375; 550 418
61; 604 429; 632 397; 590 389
62; 365 382; 328 407; 369 427
63; 900 438; 942 423; 907 394
64; 1006 413; 964 405; 978 446
65; -8 427; 33 427; 12 392
66; 850 418; 878 456; 897 412
67; 249 430; 285 455; 289 412
68; 649 409; 607 435; 651 459
69; 440 434; 479 460; 482 413
70; 757 449; 725 415; 712 460
71; 552 464; 544 417; 507 447
72; 569 467; 605 439; 562 422
73; 925 486; 981 467; 937 427
74; 404 463; 441 494; 450 446
75; 401 466; 359 447; 364 493
76; 269 467; 302 498; 312 454
77; 641 505; 674 471; 629 459
78; 358 493; 335 452; 311 492
79; 969 523; 962 478; 926 506
80; 567 486; 583 534; 617 496
81; 412 530; 407 482; 368 510
82; 918 525; 886 490; 872 536
83; 650 540; 615 503; 601 552
84; 199 559; 180 516; 151 554
85; 101 553; 146 566; 135 521
86; 299 539; 326 576; 345 535
87; 614 588; 624 552; 588 561
88; 223 549; 234 596; 269 563
89; 61 578; 22 550; 17 598
90; 778 599; 773 550; 734 579
91; 325 577; 371 608; 375 553
92; 195 571; 149 566; 167 609
93; 59 576; 69 616; 99 587
94; 292 612; 335 627; 326 582
95; 795 640; 832 610; 787 593
96; 929 613; 883 605; 899 648
97; 988 628; 956 597; 946 640
98; 777 634; 739 603; 731 652
99; 428 628; 383 615; 395 660
100; 273 661; 319 671; 305 627
101; 860 676; 826 641; 813 687
102; 712 700; 763 681; 721 646
103; 762 675; 800 705; 808 657
104; 52 712; 95 678; 44 658
105; 298 678; 307 724; 343 694
106; -7 715; 31 712; 9 681
107; 623 742; 617 692; 576 722
108; 255 706; 265 753; 300 720
109; 26 734; 72 770; 80 712
110; 179 737; 196 759; 206 734
111; 434 729; 452 776; 484 737
112; 201 749; 232 777; 240 736
113; 441 753; 399 726; 397 776
114; 785 761; 749 721; 732 773
115; 355 758; 319 725; 309 773
116; 618 751; 566 743; 585 792
117; 230 765; 253 765; 241 745
118; 161 770; 132 728; 109 774
119; 40 767; 1 744; 1 789
120; 1036 850; 994 836; 1003 879
121; 975 783; 1015 802; 1012 758
122; 994 814; 968 772; 945 815
123; 156 800; 188 826; 195 785
124; 401 808; 446 829; 441 780
125; 351 804; 388 836; 398 788
126; 341 849; 368 833; 341 818
127; 638 827; 591 809; 599 859
128; 176 835; 130 817; 137 866
129; 130 858; 115 811; 81 848
130; 949 841; 988 871; 995 822
131; 900 846; 943 876; 947 825
132; 902 851; 856 827; 859 879
133; 429 874; 397 834; 379 882
134; 291 874; 339 886; 326 838
135; 140 880; 187 892; 174 845
136; 598 893; 558 861; 550 911
137; 83 883; 118 921; 134 872
138; 848 896; 808 863; 799 914
139; 925 891; 876 875; 887 925
140; 361 902; 313 895; 331 940
141; 317 915; 277 887; 272 936
142; 635 920; 682 939; 674 889
143; 566 916; 604 948; 613 899
144; 1019 939; 980 910; 974 958
145; 888 943; 850 911; 841 961
146; 921 935; 930 975; 961 946
147; 931 951; 915 913; 890 946
148; 452 955; 419 910; 396 962
149; 585 957; 545 927; 539 977
150; 718 974; 768 990; 757 939
151; 344 1003; 345 956; 303 979
152; 897 1002; 879 961; 853 998
153; 29 1025; 75 1006; 35 975
154; 577 1030; 591 997; 556 1001
155; 383 1030; 390 999; 360 1009
156; 651 1025; 656 981; 615 999
157; 790 1024; 786 978; 748 1004
