0; 248 8; 273 43; 291 4
1; 455 -3; 461 34; 490 11
2; 584 -1; 596 33; 620 6
3; 510 29; 547 44; 541 4
4; 80 52; 120 58; 106 20
5; 120 61; 158 73; 149 34
6; 192 63; 230 75; 221 36
7; 1001 81; 1006 42; 970 57
8; 313 111; 349 94; 317 71
9; 255 108; 293 113; 278 78
10; 964 107; 934 82; 927 121
11; 183 99; 147 88; 155 125
12; 425 102; 388 87; 393 127
13; 920 125; 909 94; 888 120
14; 477 110; 502 141; 516 104
15; 856 109; 868 142; 891 115
16; 270 128; 241 102; 233 140
17; 333 117; 293 120; 316 154
18; 355 120; 364 158; 393 132
19; 503 142; 466 125; 470 166
20; 815 164; 849 145; 815 125
21; 271 158; 308 156; 288 125
22; 983 142; 1000 180; 1024 147
23; 201 159; 226 190; 240 153
24; 185 166; 150 150; 154 189
25; 237 182; 277 175; 252 144
26; 287 197; 316 172; 279 160
27; 223 186; 189 168; 190 206
28; 338 204; 317 173; 300 207
29; 1028 201; 993 192; 1003 227
30; 263 182; 228 199; 260 221
31; 38 183; 1 198; 32 223
32; 48 209; 85 223; 78 184
33; 333 206; 362 233; 371 194
34; 150 197; 160 234; 187 207
35; 72 253; 110 260; 96 223
36; 823 241; 785 233; 796 270
37; -3 264; 27 283; 29 248
38; 31 233; 40 271; 68 244
39; 741 256; 775 273; 773 235
40; 417 262; 455 274; 446 235
41; 967 299; 997 273; 960 260
42; 807 296; 787 262; 768 296
43; 241 290; 202 283; 214 320
44; 481 311; 519 324; 511 285
45; 559 322; 548 285; 521 313
46; 292 308; 325 323; 321 287
47; 956 325; 996 330; 981 293
48; 751 347; 788 359; 780 320
49; 522 365; 555 344; 520 325
50; 954 356; 917 341; 923 381
51; 714 366; 750 379; 744 341
52; 125 374; 163 382; 151 345
53; 275 377; 311 392; 306 353
54; 531 379; 567 393; 562 355
55; 93 402; 121 374; 82 365
56; 354 376; 360 416; 391 390
57; 627 389; 589 377; 597 416
58; 924 385; 936 424; 964 394
59; 32 388; 37 424; 66 402
60; -2 416; 31 428; 25 393
61; 338 409; 302 396; 308 434
62; 855 420; 893 432; 884 393
63; 601 426; 563 416; 573 454
64; 380 436; 344 420; 348 459
65; 940 464; 973 442; 938 424
66; 851 434; 864 473; 891 442
67; 929 455; 892 442; 898 481
68; 110 456; 72 447; 83 485
69; 395 443; 374 479; 416 479
70; 626 447; 594 468; 628 486
71; 313 487; 352 502; 346 460
72; 597 519; 629 496; 593 480
73; 394 511; 429 514; 414 482
74; 303 510; 265 499; 275 538
75; 330 528; 367 541; 359 502
76; 420 531; 387 507; 383 548
77; 666 552; 696 527; 660 513
78; 297 536; 265 560; 302 577
79; 788 571; 826 582; 817 543
80; 262 561; 224 553; 235 590
81; 555 569; 519 557; 527 595
82; 994 590; 1021 606; 1021 575
83; 985 557; 953 587; 995 599
84; 854 602; 885 579; 850 564
85; -1 603; 34 587; 3 565
86; 215 589; 216 627; 249 607
87; 636 631; 666 607; 630 593
88; 417 637; 448 610; 409 597
89; 34 596; 2 620; 40 635
90; 537 639; 571 619; 536 599
91; 789 604; 794 643; 825 620
92; 518 627; 485 605; 483 644
93; 890 641; 853 629; 861 667
94; 446 641; 475 635; 455 613
95; 463 672; 490 651; 458 638
96; 456 646; 425 648; 442 674
97; 420 650; 383 639; 392 677
98; 689 681; 721 657; 684 642
99; 796 663; 832 677; 826 638
100; 308 660; 269 655; 284 691
101; 584 674; 548 661; 554 699
102; 346 678; 309 665; 316 704
103; 479 690; 516 699; 506 662
104; 898 679; 899 718; 932 698
105; 199 722; 230 699; 194 684
106; 47 720; 86 728; 74 690
107; 157 729; 194 716; 164 691
108; 980 737; 1007 711; 971 700
109; 44 720; 6 711; 16 748
110; 276 725; 240 712; 246 750
111; 973 745; 956 713; 937 743
112; 77 743; 113 755; 106 717
113; 1017 766; 1021 722; 980 740
114; 78 755; 40 745; 50 783
115; 985 744; 954 765; 987 782
116; 524 778; 561 792; 556 753
117; 116 785; 79 767; 82 808
118; 407 815; 439 792; 403 776
119; 653 782; 621 806; 657 822
120; 134 811; 96 805; 109 841
121; 857 829; 895 837; 883 800
122; 349 832; 386 847; 381 808
123; 60 844; 100 846; 82 810
124; 151 849; 189 861; 180 822
125; 808 850; 770 840; 780 878
126; 262 867; 299 879; 292 841
127; 670 889; 706 868; 669 848
128; 620 867; 581 860; 595 897
129; 685 903; 722 903; 703 871
130; 853 921; 887 903; 854 882
131; 338 888; 345 922; 372 899
132; 301 922; 339 918; 316 887
133; 35 917; 70 931; 64 893
134; 501 920; 539 929; 528 892
135; 970 911; 932 897; 939 936
136; 161 900; 129 921; 163 938
137; 207 942; 232 918; 199 908
138; 345 960; 379 939; 344 921
139; 973 958; 1007 940; 974 920
140; 519 941; 481 933; 493 970
141; 34 950; 7 925; -1 961
142; 20 916; 13 896; 0 912
143; 266 975; 292 951; 258 941
144; 267 946; 294 932; 267 915
145; 252 960; 214 971; 242 998
146; 216 959; 255 958; 235 925
147; 179 977; 217 963; 185 937
148; 907 964; 944 981; 940 940
149; 373 965; 342 989; 379 1004
150; 42 985; 8 1016; 51 1030
151; 405 1027; 407 993; 376 1008
