0; 149 -1; 202 -1; 202 33; 149 33
1; 374 -4; 425 -4; 425 30; 374 30
2; 522 -4; 571 -4; 571 24; 522 24
3; 414 42; 434 1; 467 17; 446 58
4; 796 13; 822 -8; 854 30; 827 52
5; 113 11; 151 8; 156 64; 118 67
6; 838 6; 882 -11; 909 59; 865 76
7; 328 48; 361 10; 388 34; 355 71
8; 464 26; 506 19; 512 51; 471 59
9; 8 19; 8 -1; 82 -1; 82 19
10; 13 23; 29 1; 75 34; 59 57
11; -5 28; 55 26; 57 74; -3 76
12; 301 2; 333 -9; 348 34; 317 45
13; 245 -9; 286 -11; 289 46; 248 48
14; 270 40; 313 19; 329 52; 287 74
15; 903 46; 929 14; 969 46; 944 78
16; 888 14; 895 -9; 984 16; 977 39
17; 707 79; 717 36; 735 40; 725 83
18; 735 70; 762 31; 786 47; 758 86
19; 162 41; 205 37; 208 77; 165 81
20; 64 36; 95 13; 128 56; 98 80
21; 566 80; 586 24; 620 37; 600 93
22; 638 63; 681 43; 696 77; 653 96
23; 622 55; 628 27; 678 37; 672 65
24; 607 34; 607 -4; 692 -4; 692 34
25; 523 32; 551 23; 568 72; 541 82
26; 787 68; 803 40; 844 65; 828 92
27; 966 61; 1019 34; 1036 69; 983 95
28; 435 102; 435 53; 471 53; 471 102
29; 234 63; 268 47; 289 92; 254 108
30; 843 59; 891 59; 891 92; 843 92
31; 891 58; 926 58; 926 107; 891 107
32; 51 64; 96 64; 96 112; 51 112
33; 466 94; 505 58; 531 85; 492 122
34; 93 115; 93 63; 142 63; 142 115
35; 381 101; 398 71; 450 101; 432 131
36; 294 104; 315 60; 345 74; 324 119
37; 194 64; 239 64; 239 114; 194 114
38; -5 108; 12 70; 61 93; 44 130
39; 665 95; 696 71; 725 109; 694 132
40; 337 117; 364 73; 395 92; 368 136
41; 521 80; 559 80; 559 129; 521 129
42; 613 95; 641 71; 677 113; 648 137
43; 146 96; 176 75; 203 114; 174 135
44; 728 122; 752 79; 783 96; 759 139
45; 553 113; 574 88; 615 123; 594 147
46; 908 132; 925 88; 960 101; 943 145
47; 90 111; 133 111; 133 151; 90 151
48; 268 138; 275 99; 328 110; 321 149
49; 956 131; 985 86; 1017 107; 988 152
50; 855 134; 877 101; 921 131; 899 163
51; 782 151; 788 113; 831 120; 825 159
52; -1 152; 5 114; 51 121; 45 159
53; 454 159; 469 111; 514 125; 499 173
54; 437 134; 466 96; 483 109; 454 147
55; 603 136; 630 113; 665 152; 638 176
56; 197 148; 224 117; 245 135; 217 166
57; 303 167; 321 126; 355 140; 336 182
58; 503 126; 545 126; 545 182; 503 182
59; 934 175; 946 133; 985 144; 973 186
60; 342 153; 371 128; 405 167; 376 192
61; 367 141; 390 111; 428 141; 406 170
62; 654 176; 664 138; 706 149; 697 187
63; 47 160; 87 129; 110 159; 70 190
64; 998 130; 1024 130; 1024 177; 998 177
65; 405 172; 434 136; 464 160; 435 196
66; 536 182; 539 135; 586 139; 582 186
67; 828 185; 833 139; 873 144; 867 190
68; 586 184; 608 154; 647 183; 626 212
69; 887 181; 911 153; 952 187; 928 216
70; 315 201; 341 164; 372 185; 346 223
71; 692 192; 722 151; 752 173; 723 214
72; 764 184; 795 174; 809 215; 778 225
73; 790 157; 823 152; 830 203; 797 208
74; 0 155; 54 155; 54 206; 0 206
75; 232 174; 280 170; 282 204; 234 208
76; 641 171; 670 171; 670 205; 641 205
77; 70 190; 109 159; 131 188; 92 218
78; 859 217; 865 172; 900 176; 893 222
79; 160 171; 197 169; 200 215; 163 218
80; 450 197; 497 163; 521 195; 473 229
81; 1002 189; 1025 189; 1025 225; 1002 225
82; 525 227; 530 175; 566 179; 561 230
83; 574 240; 604 200; 628 218; 598 258
84; 551 229; 560 177; 599 185; 590 236
85; 938 230; 944 185; 981 190; 976 234
86; 124 196; 161 192; 165 236; 129 240
