0; 532 -1; 563 -1; 563 36; 532 36
1; 825 57; 835 7; 864 12; 855 63
2; 630 47; 641 14; 684 28; 673 62
3; 200 169; 215 136; 256 155; 242 187
4; 758 175; 759 142; 806 143; 805 177
5; 21 184; 35 184; 37 229; 22 230
6; 305 182; 334 168; 355 213; 327 227
7; 774 224; 806 181; 831 200; 798 243
8; 36 242; 44 211; 89 224; 80 255
9; 663 237; 706 215; 720 241; 676 263
10; 208 244; 247 218; 265 244; 225 270
11; 445 264; 483 231; 505 256; 466 289
12; 373 264; 386 234; 426 252; 413 282
13; 797 267; 819 226; 845 240; 823 281
14; 231 298; 244 266; 286 284; 273 315
15; 783 298; 807 276; 842 314; 818 336
16; 699 361; 714 312; 744 321; 729 370
17; 156 367; 173 318; 204 328; 187 378
18; 738 397; 768 397; 768 446; 738 446
19; -10 408; 26 392; 39 421; 3 437
20; 346 428; 385 397; 404 421; 365 452
21; 670 400; 699 400; 699 447; 670 447
22; 966 426; 996 425; 998 475; 969 477
23; 775 464; 779 418; 810 421; 806 467
24; 896 467; 911 420; 941 430; 925 476
25; 585 494; 619 483; 635 531; 601 542
26; 624 513; 671 483; 688 509; 641 539
27; 830 519; 876 504; 886 535; 840 550
28; 888 510; 920 509; 922 557; 891 559
29; 24 580; 63 541; 86 564; 47 602
30; 268 588; 291 562; 329 595; 307 621
31; 522 689; 550 648; 577 666; 549 707
32; 787 685; 794 652; 842 662; 835 695
33; 32 708; 60 692; 86 738; 58 753
34; 161 742; 198 701; 221 722; 184 763
35; 288 727; 319 725; 323 768; 291 770
36; 118 756; 131 709; 160 717; 146 764
37; 327 754; 348 731; 382 763; 360 786
38; 446 730; 475 725; 483 775; 454 780
39; 915 765; 935 739; 972 767; 952 793
40; 152 811; 159 762; 189 766; 182 816
41; 27 801; 68 772; 86 798; 46 827
42; 115 884; 160 860; 175 889; 131 913
43; 726 910; 741 862; 773 872; 758 920
44; -11 939; 16 894; 44 910; 18 956
45; 208 940; 255 940; 255 972; 208 972
46; 634 973; 635 925; 665 926; 664 974
47; 253 968; 299 952; 308 980; 263 996
48; 590 963; 622 949; 639 989; 607 1003
49; 397 961; 426 961; 426 1004; 397 1004
50; 35 985; 62 970; 85 1009; 57 1025
51; 188 988; 217 988; 217 1025; 188 1025
52; 358 1024; 358 1004; 405 1004; 405 1024
53; 790 991; 820 991; 820 1024; 790 1024
54; 829 992; 860 982; 873 1021; 843 1032
55; 910 990; 941 990; 941 1024; 910 1024
