0; 700 29; 729 11; 758 56; 728 74
1; 360 83; 376 38; 409 49; 393 94
2; 525 98; 535 50; 567 58; 557 105
3; 798 87; 818 44; 851 59; 831 102
4; 925 111; 961 85; 982 113; 946 140
5; 17 124; 28 77; 61 85; 50 131
6; 212 105; 259 105; 259 135; 212 135
7; 836 134; 856 134; 856 179; 836 179
8; 369 147; 402 118; 432 153; 399 182
9; 599 139; 609 123; 648 148; 638 163
10; 883 166; 894 136; 940 153; 929 183
11; 123 198; 136 151; 168 160; 155 207
12; 344 189; 361 153; 406 174; 390 210
13; 42 192; 82 164; 97 187; 58 215
14; 963 209; 1012 195; 1021 225; 972 239
15; 5 231; 19 204; 61 226; 47 253
16; 784 262; 794 215; 826 223; 815 269
17; 272 257; 293 211; 323 224; 302 271
18; 349 260; 376 237; 410 278; 383 300
19; 105 306; 121 271; 166 292; 151 326
20; 374 304; 423 296; 428 330; 379 338
21; 141 354; 166 312; 191 327; 166 369
22; 93 353; 107 319; 157 339; 143 373
23; 733 399; 745 350; 778 358; 767 407
24; 518 410; 529 365; 564 374; 553 419
25; 486 373; 512 373; 512 418; 486 418
26; 813 398; 838 375; 872 410; 847 434
27; 65 417; 109 415; 111 452; 67 453
28; 47 412; 86 384; 104 409; 65 437
29; 751 432; 769 404; 813 433; 795 461
30; 26 477; 36 446; 84 461; 74 492
31; 567 472; 595 450; 627 492; 599 514
32; 816 501; 864 474; 880 503; 833 530
33; 774 551; 800 512; 831 533; 805 571
34; 548 568; 565 537; 612 562; 595 593
35; 561 652; 585 627; 622 662; 598 688
36; 98 672; 143 650; 158 681; 113 703
37; 306 834; 327 789; 359 804; 337 849
38; 259 803; 292 795; 304 844; 271 853
39; 617 852; 623 809; 636 811; 631 854
40; -8 870; 35 857; 45 890; 3 903
41; 734 904; 755 875; 797 907; 776 935
42; 419 914; 443 892; 477 930; 453 952
43; 463 948; 475 918; 527 940; 515 970
44; 737 971; 766 927; 796 946; 768 990
45; 684 976; 718 969; 728 1019; 695 1026
46; -5 1004; 7 973; 57 993; 45 1024
47; 505 992; 539 992; 539 1024; 505 1024
