0; 922 -1; 949 -1; 949 22; 922 22
1; 850 17; 862 12; 874 40; 861 45
2; 206 135; 242 104; 261 125; 225 157
3; 960 135; 985 120; 1009 160; 984 175
4; 615 164; 641 123; 665 138; 639 179
5; 896 243; 906 200; 922 203; 913 246
6; 932 164; 950 149; 978 182; 960 197
7; 911 212; 911 168; 957 168; 957 212
8; 572 158; 612 158; 612 206; 572 206
9; 609 204; 611 167; 642 168; 640 206
10; 140 242; 150 214; 196 232; 185 260
11; 189 318; 225 286; 245 309; 209 341
12; -6 338; 26 302; 48 322; 15 358
13; 881 338; 898 310; 938 335; 920 363
14; 845 372; 872 329; 896 344; 869 387
15; 349 412; 380 406; 384 424; 352 430
16; 524 437; 573 435; 574 464; 525 465
17; 77 507; 116 476; 134 498; 96 530
18; 782 531; 808 493; 832 509; 806 547
19; 623 543; 657 509; 677 529; 643 563
20; 325 540; 355 505; 378 524; 348 560
21; 999 603; 999 536; 1026 536; 1026 603
22; 973 556; 999 517; 1025 535; 999 574
23; 73 562; 101 554; 116 602; 87 610
24; 585 587; 592 560; 638 573; 631 600
25; 309 596; 333 581; 359 620; 336 636
26; 670 577; 699 568; 713 611; 684 620
27; 75 627; 92 598; 140 627; 123 656
28; 434 702; 452 680; 488 709; 470 732
29; 302 765; 326 723; 350 736; 325 778
30; 60 772; 67 743; 80 746; 73 775
31; 894 777; 928 747; 946 767; 912 797
32; 12 860; 38 849; 58 897; 32 908
33; 693 905; 710 861; 736 871; 719 915
34; 551 898; 575 884; 598 922; 574 937
35; 724 939; 741 896; 769 907; 752 949
36; 14 938; 37 898; 64 914; 40 953
37; 664 988; 693 970; 718 1010; 690 1028
38; 690 972; 719 953; 744 993; 715 1011
