0; 123 -3; 180 -3; 180 23; 123 23
1; 570 -2; 608 -2; 608 31; 570 31
2; 800 63; 824 15; 863 35; 839 82
3; 304 52; 355 46; 359 81; 308 86
4; 716 99; 723 44; 761 49; 753 104
5; 528 95; 570 65; 590 93; 548 123
6; 747 120; 756 71; 796 79; 787 128
7; 882 95; 908 67; 948 105; 922 133
8; 457 111; 498 72; 522 97; 481 136
9; 171 113; 197 87; 236 125; 209 152
10; 552 165; 555 118; 591 121; 587 168
11; 487 148; 504 111; 561 137; 544 174
12; 129 144; 164 137; 173 191; 138 197
13; 203 179; 244 143; 268 171; 227 207
14; 509 199; 556 165; 577 194; 530 228
15; 968 219; 989 183; 1040 213; 1018 249
16; 941 191; 963 163; 998 190; 977 218
17; 450 242; 495 202; 518 227; 473 268
18; 74 200; 109 200; 109 244; 74 244
19; 208 222; 232 192; 279 229; 255 259
20; 407 275; 423 224; 461 236; 445 287
21; 907 260; 938 245; 961 292; 930 307
22; 736 277; 752 240; 800 260; 783 297
23; 596 286; 611 250; 653 267; 638 304
24; 445 299; 451 264; 504 274; 497 309
25; 504 278; 542 278; 542 324; 504 324
26; 0 327; 0 232; 17 232; 17 327
27; 12 271; 34 270; 36 329; 14 329
28; 587 326; 588 293; 639 295; 638 328
29; 269 318; 316 287; 336 317; 289 348
30; 192 333; 227 298; 252 323; 217 358
31; 641 340; 656 309; 705 332; 689 363
32; 555 343; 581 314; 625 353; 600 382
33; 696 360; 709 325; 758 344; 745 379
34; 824 334; 862 323; 877 378; 840 388
35; 132 376; 170 337; 195 362; 157 401
36; 333 378; 382 351; 399 380; 350 408
37; 464 385; 512 360; 530 393; 483 419
38; 169 388; 201 376; 220 428; 187 440
39; 261 418; 268 387; 315 399; 308 430
40; 437 402; 470 389; 491 441; 458 454
41; 995 393; 1027 393; 1027 448; 995 448
42; 783 411; 811 390; 844 435; 816 456
43; 922 453; 967 426; 986 458; 941 485
44; 48 466; 93 425; 119 454; 73 494
45; 414 467; 440 435; 497 483; 470 514
46; 500 450; 530 432; 558 478; 528 496
47; 303 491; 362 468; 375 500; 316 524
48; 426 524; 465 502; 489 544; 450 566
49; 395 507; 439 481; 457 511; 413 538
50; 192 519; 231 513; 237 547; 198 553
51; 7 555; 40 513; 74 539; 41 581
52; -3 535; -3 479; 34 479; 34 535
53; 165 532; 195 525; 203 557; 174 564
54; 631 550; 677 523; 696 557; 651 583
55; 131 541; 159 527; 178 564; 150 578
56; 846 581; 851 537; 898 542; 893 586
57; 963 585; 1013 553; 1033 584; 983 616
58; 247 607; 269 561; 300 576; 278 621
59; 783 583; 840 583; 840 636; 783 636
60; 737 597; 773 585; 790 637; 754 649
61; 637 614; 665 585; 706 625; 679 654
62; 251 614; 285 608; 295 664; 262 670
63; 370 640; 393 613; 428 643; 406 670
64; 62 634; 95 618; 117 660; 84 677
65; 639 641; 674 637; 681 692; 646 697
66; 405 668; 423 637; 474 666; 456 697
67; 544 678; 557 641; 609 659; 596 695
68; 477 690; 483 651; 534 659; 529 698
69; 919 688; 958 679; 969 732; 931 740
70; 94 733; 130 694; 156 718; 120 757
71; 820 737; 846 707; 891 745; 865 776
72; 32 757; 73 706; 103 730; 62 781
73; 982 761; 1024 761; 1024 798; 982 798
74; 939 755; 978 751; 985 813; 946 817
75; 810 811; 812 765; 872 767; 871 812
76; 339 807; 381 774; 404 804; 362 837
77; 962 804; 1000 794; 1012 843; 974 853
78; 547 835; 578 835; 578 850; 547 850
79; 106 837; 149 815; 172 860; 128 882
80; 994 856; 1029 856; 1029 889; 994 889
81; 157 892; 164 853; 218 863; 211 902
82; 544 897; 558 865; 608 887; 594 919
83; 31 882; 85 875; 90 909; 35 916
84; 452 910; 487 869; 515 894; 481 935
85; 497 916; 511 882; 566 905; 552 939
86; 89 920; 100 891; 145 907; 135 936
87; 517 978; 519 960; 552 965; 550 983
88; 473 943; 496 913; 542 948; 519 979
89; 536 945; 585 917; 603 948; 554 977
90; 133 996; 138 959; 189 966; 184 1003
91; 393 976; 427 969; 439 1024; 404 1031
92; 55 1007; 97 968; 121 994; 79 1032
