0; 365 -3; 394 -3; 394 29; 365 29
1; 317 6; 367 6; 367 38; 317 38
2; 278 30; 292 -10; 317 -1; 303 38
3; 966 88; 1000 75; 1019 122; 986 136
4; 376 126; 424 106; 436 136; 388 155
5; 569 128; 595 108; 625 146; 599 166
6; 316 145; 362 145; 362 184; 316 184
7; 986 167; 1025 167; 1025 214; 986 214
8; 305 184; 353 180; 356 218; 309 222
9; 474 221; 505 203; 526 241; 495 259
10; 597 270; 647 245; 662 276; 612 300
11; 624 243; 671 208; 689 233; 643 268
12; 1000 220; 1025 220; 1025 273; 1000 273
13; 873 266; 920 255; 926 284; 880 295
14; 77 264; 129 253; 137 287; 84 298
15; 457 269; 503 269; 503 302; 457 302
16; 781 299; 827 279; 840 309; 794 329
17; 406 320; 417 288; 466 305; 456 337
18; 528 325; 560 314; 577 363; 545 374
19; 800 376; 836 335; 859 355; 824 396
20; 498 348; 531 343; 538 390; 505 395
21; 449 397; 452 369; 498 373; 496 401
22; 288 415; 290 383; 339 386; 337 417
23; 89 404; 120 384; 145 424; 114 443
24; 39 399; 77 399; 77 440; 39 440
25; 639 492; 675 454; 702 480; 666 517
26; 491 479; 538 479; 538 513; 491 513
27; 682 498; 714 498; 714 526; 682 526
28; 512 540; 535 497; 566 513; 543 556
29; 626 536; 671 510; 686 538; 641 563
30; 675 541; 727 541; 727 575; 675 575
31; 345 552; 375 533; 399 571; 369 590
32; 721 552; 768 552; 768 586; 721 586
33; 643 574; 688 572; 689 605; 644 607
34; 802 596; 815 564; 869 587; 856 619
35; 290 594; 342 594; 342 624; 290 624
36; 672 620; 695 594; 731 625; 707 652
37; 755 602; 789 589; 812 652; 778 664
38; 814 626; 852 612; 867 652; 828 665
39; 139 638; 172 626; 189 673; 157 686
40; 285 653; 319 634; 339 671; 305 689
41; 368 661; 419 643; 429 672; 379 691
42; 924 690; 925 659; 971 661; 969 692
43; 677 670; 718 670; 718 705; 677 705
44; 789 696; 797 664; 842 676; 834 708
45; 463 694; 505 691; 509 728; 466 732
46; 872 735; 924 716; 934 746; 883 765
47; 744 757; 800 745; 806 775; 750 787
48; 433 807; 448 773; 502 796; 487 831
49; 238 791; 276 791; 276 835; 238 835
50; 481 822; 498 794; 538 819; 520 846
51; 678 838; 710 823; 728 861; 696 876
52; 821 830; 863 830; 863 880; 821 880
53; 859 851; 903 851; 903 889; 859 889
54; 916 858; 962 854; 965 884; 919 888
55; 19 888; 62 851; 85 877; 42 914
56; 663 881; 705 881; 705 917; 663 917
57; 883 888; 923 888; 923 926; 883 926
58; 803 889; 834 878; 851 927; 820 938
59; 737 903; 788 903; 788 934; 737 934
60; 823 935; 862 914; 879 946; 840 967
61; 632 912; 673 912; 673 966; 632 966
62; 462 913; 507 913; 507 954; 462 954
63; 994 935; 1026 935; 1026 967; 994 967
64; 575 973; 609 941; 631 965; 597 997
65; 133 952; 168 952; 168 1000; 133 1000
66; 450 1001; 479 973; 511 1005; 483 1034
67; 796 985; 836 985; 836 1025; 796 1025
