0; 455 -2; 494 -2; 494 33; 455 33
1; 955 39; 958 -2; 993 0; 990 41
2; 907 53; 927 22; 969 48; 949 79
3; 827 87; 861 87; 861 134; 827 134
4; 945 105; 977 97; 988 143; 956 151
5; 884 164; 888 119; 924 122; 920 167
6; 775 149; 825 142; 830 176; 780 183
7; 126 149; 173 133; 186 169; 139 186
8; 152 177; 201 171; 206 204; 157 210
9; 829 184; 856 167; 884 208; 857 226
10; 612 214; 617 182; 664 188; 659 220
11; 224 190; 270 190; 270 222; 224 222
12; 513 224; 522 192; 568 205; 559 237
13; 849 254; 873 210; 909 230; 885 274
14; 904 234; 938 234; 938 279; 904 279
15; 732 271; 778 251; 791 283; 746 302
16; 785 304; 814 253; 842 269; 813 320
17; 997 272; 1026 272; 1026 320; 997 320
18; 619 315; 623 274; 670 278; 666 320
19; 686 298; 720 298; 720 340; 686 340
20; 766 334; 803 297; 827 320; 790 357
21; 217 325; 259 325; 259 359; 217 359
22; 992 329; 1025 329; 1025 370; 992 370
23; 428 378; 478 378; 478 411; 428 411
24; 300 410; 335 399; 350 446; 315 457
25; 79 420; 128 414; 132 448; 83 453
26; 447 504; 456 458; 491 465; 483 511
27; 659 505; 708 505; 708 537; 659 537
28; 290 523; 338 507; 349 540; 301 556
29; 366 555; 396 510; 426 530; 396 575
30; 17 585; 38 538; 71 553; 49 600
31; 223 596; 250 554; 281 574; 254 616
32; 650 622; 694 601; 709 632; 665 653
33; 208 609; 257 609; 257 643; 208 643
34; 497 621; 544 617; 547 651; 500 655
35; 66 636; 114 636; 114 669; 66 669
36; 346 627; 379 621; 389 672; 355 678
37; 940 725; 951 693; 996 708; 985 740
38; 65 715; 87 689; 125 723; 103 748
39; 385 720; 401 689; 445 713; 429 743
40; -2 696; 30 696; 30 747; -2 747
41; 570 757; 579 725; 633 741; 623 773
42; 763 756; 813 746; 820 780; 770 789
43; 699 777; 748 768; 754 802; 705 811
44; 519 784; 541 784; 541 806; 519 806
45; 138 810; 184 788; 199 819; 153 841
46; 831 814; 872 787; 891 816; 851 843
47; 95 851; 135 817; 156 842; 116 876
48; 475 826; 509 816; 523 863; 489 873
49; 27 856; 59 856; 59 903; 27 903
50; 775 883; 798 856; 836 888; 813 915
51; 279 895; 310 853; 337 872; 306 915
52; 612 935; 631 906; 673 934; 654 963
53; 527 939; 572 939; 572 965; 527 965
54; 831 982; 832 949; 879 950; 878 984
55; 260 958; 298 943; 315 987; 277 1002
56; 299 924; 343 919; 350 977; 306 982
57; 128 1002; 147 956; 181 971; 161 1016
58; 164 1000; 214 1000; 214 1025; 164 1025
