0; 540 7; 580 -6; 588 16; 548 29
1; 911 44; 919 20; 956 32; 949 56
2; 145 30; 166 20; 181 52; 160 62
3; 74 54; 94 42; 112 72; 92 84
4; 267 62; 283 46; 308 70; 291 87
5; 408 105; 408 82; 445 82; 445 105
6; 410 85; 410 60; 445 60; 445 85
7; 128 69; 146 68; 148 105; 130 106
8; 214 80; 233 80; 233 99; 214 99
9; 46 83; 75 83; 75 104; 46 104
10; 448 83; 478 83; 478 106; 448 106
11; 771 102; 779 80; 810 90; 802 112
12; 548 102; 570 76; 587 90; 566 117
13; 947 103; 956 82; 988 96; 979 117
14; 689 112; 695 89; 727 97; 721 120
15; 466 112; 487 98; 508 130; 488 144
16; 902 160; 912 120; 935 125; 925 166
17; 504 124; 538 124; 538 147; 504 147
18; 49 154; 57 132; 88 144; 80 166
19; 976 144; 1010 144; 1010 167; 976 167
20; 464 148; 497 148; 497 172; 464 172
21; 207 158; 241 158; 241 181; 207 181
22; 586 179; 596 158; 627 173; 616 195
23; 238 213; 241 186; 273 189; 270 217
24; 238 186; 243 163; 277 170; 273 192
25; 962 177; 993 177; 993 199; 962 199
26; 782 183; 803 183; 803 204; 782 204
27; -4 187; 11 171; 36 193; 21 210
28; 176 227; 176 201; 207 201; 207 227
29; 194 208; 194 179; 224 179; 224 208
30; 700 198; 709 177; 741 189; 732 210
31; 803 196; 836 189; 842 212; 809 219
32; 79 208; 109 208; 109 230; 79 230
33; 6 221; 25 209; 42 236; 22 248
34; 364 220; 387 220; 387 253; 364 253
35; 158 231; 190 231; 190 255; 158 255
36; 740 260; 754 260; 754 277; 740 277
37; 586 268; 608 250; 628 276; 606 293
38; 106 265; 124 251; 145 277; 127 291
39; 640 277; 669 261; 681 283; 652 299
40; 562 273; 593 273; 593 296; 562 296
41; 488 299; 505 282; 531 308; 514 325
42; 122 298; 139 298; 139 314; 122 314
43; 285 314; 317 314; 317 339; 285 339
44; 8 345; 23 315; 45 326; 30 356
45; 182 320; 213 320; 213 349; 182 349
46; 436 340; 468 332; 474 355; 442 364
47; 724 356; 741 339; 765 362; 747 380
48; 162 372; 187 338; 206 352; 181 386
49; 637 349; 668 349; 668 374; 637 374
50; 966 367; 983 350; 1010 376; 993 393
51; 135 397; 151 365; 172 375; 156 407
52; 504 372; 528 372; 528 408; 504 408
53; 320 380; 340 367; 359 398; 339 411
54; 518 383; 556 383; 556 412; 518 412
55; 170 420; 177 397; 209 406; 203 429
56; 984 418; 1015 416; 1017 443; 986 445
57; 987 422; 987 392; 1025 392; 1025 422
58; 953 415; 959 391; 993 399; 987 423
59; 640 402; 663 396; 671 428; 648 434
60; 331 411; 353 400; 370 433; 348 444
61; 726 417; 750 406; 766 438; 741 450
62; 593 418; 621 418; 621 451; 593 451
63; 335 463; 345 437; 384 451; 374 477
64; 467 441; 499 441; 499 465; 467 465
65; 713 459; 745 437; 758 458; 726 479
66; 962 468; 984 466; 987 507; 966 509
67; 932 471; 960 441; 977 458; 949 487
68; 675 462; 695 447; 715 474; 696 489
69; 41 463; 73 463; 73 486; 41 486
70; 581 487; 602 475; 620 505; 599 517
71; 490 491; 505 491; 505 507; 490 507
72; 530 486; 563 486; 563 510; 530 510
73; 406 487; 428 477; 442 508; 420 518
74; 704 513; 719 493; 747 514; 733 534
75; 102 537; 126 513; 143 529; 119 553
76; 572 535; 585 514; 615 532; 603 554
77; 459 528; 481 518; 496 551; 474 561
78; 498 548; 506 526; 536 537; 528 559
79; 973 568; 983 538; 1005 545; 995 575
80; 954 567; 954 540; 985 540; 985 567
81; 962 542; 962 525; 983 525; 983 542
82; 42 559; 56 540; 83 559; 69 578
83; 219 551; 252 551; 252 577; 219 577
84; 598 572; 618 558; 638 585; 618 599
85; 880 568; 912 568; 912 593; 880 593
86; 982 594; 985 570; 1018 573; 1015 597
87; 682 577; 706 566; 721 599; 697 610
88; 706 561; 730 553; 740 585; 716 592
89; 254 587; 270 571; 294 594; 277 611
90; 207 579; 240 579; 240 603; 207 603
91; 558 607; 570 586; 601 605; 588 625
92; 33 618; 37 594; 71 600; 67 623
93; 598 606; 634 600; 638 624; 602 630
94; 705 602; 737 602; 737 631; 705 631
95; 497 639; 521 610; 540 627; 516 655
96; 313 628; 346 628; 346 651; 313 651
97; 175 652; 197 625; 216 641; 194 668
98; 941 630; 974 630; 974 654; 941 654
99; 26 640; 58 640; 58 665; 26 665
100; 77 644; 106 644; 106 675; 77 675
101; 621 655; 646 645; 658 677; 633 686
102; 261 672; 271 649; 302 663; 293 685
103; 220 657; 244 650; 253 682; 229 689
104; 185 672; 209 663; 221 694; 198 704
105; 509 683; 528 666; 552 693; 534 710
106; 562 678; 595 678; 595 702; 562 702
107; 76 677; 108 677; 108 703; 76 703
108; 245 710; 267 683; 286 699; 264 726
109; -11 709; 38 681; 53 708; 5 736
110; 932 694; 967 694; 967 718; 932 718
111; 122 701; 141 683; 167 709; 149 728
112; 68 715; 91 715; 91 731; 68 731
113; 89 731; 95 707; 132 717; 126 740
114; 711 715; 743 715; 743 747; 711 747
115; 898 740; 916 707; 940 720; 922 753
116; 260 751; 285 725; 303 743; 277 768
117; 145 734; 178 734; 178 758; 145 758
118; 741 730; 769 730; 769 763; 741 763
119; 72 747; 106 747; 106 772; 72 772
120; 327 763; 363 763; 363 793; 327 793
121; 898 764; 925 758; 934 794; 906 800
122; 916 753; 949 731; 963 752; 930 774
123; 604 787; 625 758; 646 773; 625 802
124; 307 790; 341 790; 341 814; 307 814
125; 645 812; 666 781; 687 796; 665 827
126; 113 805; 146 805; 146 829; 113 829
127; 905 812; 939 812; 939 836; 905 836
128; 197 822; 215 804; 239 830; 221 847
129; 425 852; 450 827; 467 844; 442 869
130; 681 835; 703 823; 722 857; 699 869
131; 48 865; 70 853; 87 883; 64 895
132; 410 895; 416 871; 449 879; 443 903
133; 0 871; 30 871; 30 898; 0 898
134; 258 881; 292 881; 292 905; 258 905
135; 589 890; 608 874; 632 903; 613 919
136; 162 899; 187 872; 205 888; 180 915
