0; 688 -4; 734 -4; 734 32; 688 32
1; 70 56; 110 29; 127 54; 87 81
2; 746 65; 788 35; 806 61; 764 91
3; 422 62; 452 62; 452 84; 422 84
4; 610 107; 621 60; 650 68; 639 115
5; 449 99; 495 73; 510 100; 464 126
6; 841 108; 864 85; 895 117; 872 140
7; 144 122; 184 99; 201 128; 160 151
8; 610 146; 635 129; 651 153; 626 169
9; 169 161; 205 129; 225 152; 189 184
10; 525 167; 562 129; 586 152; 549 190
11; 233 154; 283 154; 283 185; 233 185
12; 6 197; 25 172; 63 200; 43 226
13; 542 184; 587 183; 588 215; 543 216
14; 176 212; 220 212; 220 242; 176 242
15; 840 228; 856 198; 899 222; 883 252
16; 245 238; 293 238; 293 271; 245 271
17; 156 278; 188 266; 206 313; 174 325
18; 385 372; 430 343; 447 369; 403 398
19; 94 389; 142 365; 155 391; 107 415
20; 16 380; 48 372; 61 422; 30 431
21; 57 454; 57 421; 102 421; 102 454
22; 672 454; 720 447; 725 479; 677 487
23; 438 476; 447 429; 477 435; 468 482
24; 39 455; 82 455; 82 489; 39 489
25; 261 457; 294 452; 300 497; 267 501
26; 386 478; 417 473; 426 523; 395 529
27; 613 497; 644 488; 658 538; 627 547
28; 564 495; 596 485; 612 534; 580 544
29; 44 553; 61 527; 103 554; 85 581
30; 542 541; 572 524; 594 564; 564 581
31; 457 550; 479 550; 479 572; 457 572
32; 497 586; 499 555; 545 557; 544 589
33; 392 573; 430 547; 440 562; 402 588
34; 91 594; 133 571; 147 598; 105 621
35; 301 570; 331 557; 352 604; 322 617
36; 378 613; 410 581; 432 603; 400 635
37; 605 621; 608 590; 654 595; 650 626
38; 339 602; 368 591; 387 640; 358 651
39; 9 620; 44 593; 66 621; 30 648
40; 38 643; 81 618; 97 645; 54 671
41; 934 644; 965 630; 986 677; 955 691
42; 494 712; 506 679; 549 696; 537 729
43; 767 753; 798 741; 817 790; 786 802
44; 348 798; 359 767; 406 783; 395 814
45; 58 815; 105 794; 118 823; 71 844
46; 537 854; 555 827; 598 856; 581 883
47; 680 857; 730 847; 736 880; 687 889
48; 818 891; 862 883; 868 914; 823 922
49; 554 901; 594 874; 612 901; 572 928
50; 332 899; 361 887; 379 932; 351 944
51; 97 934; 129 894; 151 912; 119 952
52; 774 948; 776 899; 808 901; 806 950
53; 156 961; 196 938; 214 967; 173 991
54; 291 991; 336 980; 344 1011; 299 1022
55; 111 1006; 127 979; 172 1005; 156 1033
