0; 833 -4; 873 -4; 873 22; 833 22
1; 918 2; 966 2; 966 39; 918 39
2; 541 -2; 579 -2; 579 43; 541 43
3; 166 46; 202 5; 232 32; 196 73
4; 719 52; 726 -6; 761 -2; 754 56
5; 755 31; 802 31; 802 75; 755 75
6; 365 28; 400 27; 402 82; 367 84
7; 794 83; 827 37; 861 62; 828 107
8; 466 81; 525 81; 525 115; 466 115
9; 878 129; 925 101; 941 127; 894 155
10; 639 139; 641 91; 680 92; 678 140
11; 323 103; 365 91; 375 126; 333 138
12; 334 168; 334 123; 370 123; 370 168
13; 177 151; 215 107; 240 129; 202 172
14; 257 142; 285 121; 318 164; 291 186
15; 691 108; 721 106; 726 163; 695 165
16; 952 143; 987 138; 990 158; 955 163
17; 381 162; 410 162; 410 184; 381 184
18; 185 206; 195 166; 247 179; 237 219
19; 98 229; 119 194; 162 220; 142 254
20; 641 206; 682 206; 682 256; 641 256
21; 43 239; 94 203; 119 238; 68 274
22; 676 287; 691 284; 697 317; 682 319
23; 416 291; 475 291; 475 328; 416 328
24; 356 307; 387 276; 427 317; 395 347
25; 803 335; 836 302; 871 337; 838 370
26; 584 329; 612 325; 619 373; 591 377
27; 911 331; 946 324; 958 380; 923 387
28; 470 353; 519 322; 539 353; 489 384
29; 151 418; 174 363; 212 379; 189 433
30; 77 419; 79 377; 117 378; 115 421
31; 93 374; 116 351; 142 378; 120 400
32; 645 417; 677 365; 711 385; 679 438
33; 925 401; 952 401; 952 436; 925 436
34; 13 416; 71 404; 78 438; 20 449
35; 457 443; 475 407; 526 433; 508 468
36; 889 441; 903 419; 934 439; 920 461
37; 70 430; 86 414; 114 440; 98 457
38; 659 446; 675 414; 746 451; 730 482
39; 355 457; 393 442; 415 497; 376 512
40; 887 481; 936 454; 954 486; 905 514
41; 708 551; 709 520; 754 522; 753 552
42; 673 507; 715 458; 751 489; 709 537
43; 977 501; 999 501; 999 522; 977 522
44; 379 494; 421 493; 423 548; 381 550
45; 917 503; 936 503; 936 527; 917 527
46; 508 527; 540 507; 571 554; 539 574
47; 738 533; 764 533; 764 558; 738 558
48; 937 538; 968 538; 968 565; 937 565
49; 456 570; 488 529; 514 549; 482 590
50; 117 541; 169 537; 172 576; 120 580
51; 377 567; 427 545; 441 576; 391 598
52; 851 579; 880 579; 880 608; 851 608
53; 925 585; 952 585; 952 610; 925 610
54; 111 600; 140 577; 176 623; 148 645
55; 996 578; 1025 578; 1025 610; 996 610
56; -3 598; 40 598; 40 647; -3 647
57; 951 597; 989 597; 989 663; 951 663
58; 895 653; 917 621; 959 649; 937 682
59; 378 689; 380 652; 437 655; 435 692
60; 387 656; 389 628; 441 631; 440 659
61; -10 686; 25 644; 55 669; 20 711
62; 939 703; 967 654; 997 671; 969 720
63; 859 705; 898 671; 924 701; 885 735
64; 229 709; 262 677; 298 714; 265 746
65; 490 721; 506 699; 549 730; 533 752
66; 510 714; 525 680; 561 695; 546 730
67; 1 709; 49 709; 49 757; 1 757
68; 29 795; 32 739; 70 741; 67 797
69; 681 791; 720 749; 747 774; 707 816
70; 712 753; 767 729; 782 763; 726 787
71; 190 783; 228 754; 260 796; 222 825
72; 546 802; 603 749; 628 775; 571 828
73; 802 793; 826 759; 869 790; 845 824
74; 634 838; 636 794; 672 796; 669 840
75; 666 830; 669 783; 691 785; 688 831
76; 886 855; 934 824; 955 857; 907 888
77; -6 851; 37 841; 49 892; 6 901
78; 34 858; 73 841; 95 891; 55 908
79; 518 869; 544 869; 544 888; 518 888
80; 358 871; 414 842; 431 873; 375 902
81; 838 881; 871 864; 894 909; 861 926
82; 911 892; 967 875; 976 907; 920 923
83; 789 933; 828 908; 843 932; 804 957
84; 771 908; 806 885; 823 913; 788 935
85; 423 953; 424 932; 453 933; 452 955
86; 373 939; 402 897; 436 920; 407 963
87; 333 904; 368 901; 372 952; 337 956
88; 359 892; 397 888; 402 936; 363 939
89; 950 925; 998 922; 1000 953; 952 956
90; 321 967; 350 938; 387 975; 358 1004
91; 116 984; 159 938; 186 963; 143 1009
92; 875 984; 912 932; 944 955; 907 1006
