0; 254 -4; 302 -4; 302 28; 254 28
1; 902 -6; 980 -6; 980 44; 902 44
2; 612 -3; 667 -3; 667 45; 612 45
3; 188 62; 203 27; 259 50; 245 85
4; 141 54; 181 19; 209 51; 170 87
5; 671 60; 713 9; 743 33; 701 84
6; 832 54; 873 36; 895 85; 855 104
7; 719 105; 742 68; 790 97; 768 135
8; 230 81; 273 69; 288 126; 245 138
9; 298 93; 354 93; 354 141; 298 141
10; 680 155; 692 137; 721 156; 709 174
11; 307 184; 311 136; 360 140; 356 188
12; 495 167; 540 131; 564 161; 518 197
13; 869 171; 907 133; 936 162; 898 200
14; 137 198; 169 158; 207 188; 176 228
15; 571 180; 622 169; 633 217; 582 228
16; 13 172; 51 171; 54 224; 15 226
17; 426 171; 464 167; 469 221; 431 224
18; 532 232; 558 184; 590 201; 564 249
19; 869 224; 902 199; 935 241; 902 266
20; 583 262; 590 220; 643 228; 636 270
21; -6 268; 48 231; 71 264; 17 301
22; 720 277; 755 277; 755 314; 720 314
23; 782 324; 812 283; 849 311; 820 351
24; 751 296; 800 267; 820 302; 772 330
25; 86 357; 103 316; 158 339; 141 379
26; 295 368; 317 323; 366 347; 345 392
27; 871 374; 905 327; 937 351; 904 397
28; 790 339; 832 339; 832 385; 790 385
29; 923 362; 972 335; 991 368; 941 395
30; 820 377; 854 357; 881 403; 847 423
31; 406 413; 416 363; 453 370; 443 421
32; 961 394; 1004 362; 1026 393; 983 424
33; 313 386; 335 386; 335 411; 313 411
34; -3 392; 24 392; 24 428; -3 428
35; 886 414; 899 377; 951 396; 937 433
36; 607 431; 659 396; 680 428; 628 463
37; 779 443; 807 410; 844 441; 816 474
38; 181 453; 219 413; 250 441; 212 482
39; 122 452; 174 423; 196 461; 143 490
40; 236 497; 266 445; 301 465; 271 517
41; 158 469; 207 469; 207 516; 158 516
42; 508 504; 514 470; 574 479; 568 514
43; 202 474; 241 474; 241 528; 202 528
44; 612 533; 623 499; 674 515; 663 549
45; 63 526; 82 526; 82 554; 63 554
46; 931 556; 959 510; 1003 537; 975 583
47; 414 535; 464 508; 484 546; 435 573
48; 0 528; 35 521; 46 574; 10 581
49; 94 579; 117 553; 147 580; 124 606
50; 157 573; 188 540; 214 565; 184 598
51; 134 521; 186 517; 189 552; 137 556
52; 122 549; 182 544; 185 574; 125 579
53; 639 573; 678 532; 706 558; 667 600
54; 587 590; 628 554; 651 581; 610 617
55; 735 582; 791 559; 803 590; 748 613
56; 515 609; 544 594; 558 623; 529 638
57; 906 613; 936 589; 968 628; 938 653
58; 720 630; 727 605; 775 618; 769 643
59; 760 632; 790 600; 833 639; 803 671
60; 666 660; 666 606; 705 606; 705 660
61; -1 619; 30 619; 30 705; -1 705
62; 588 672; 599 631; 653 646; 642 687
63; 654 687; 695 669; 716 717; 676 735
64; 244 709; 289 666; 316 695; 271 737
65; 400 728; 436 689; 469 720; 433 759
66; 176 729; 230 697; 249 730; 195 762
67; 886 750; 895 713; 952 726; 944 763
68; 533 725; 585 725; 585 763; 533 763
69; 838 755; 873 715; 898 738; 862 777
70; 801 725; 843 723; 846 778; 804 780
71; 261 754; 297 729; 330 775; 294 800
72; 226 793; 250 755; 298 786; 274 824
73; 463 786; 486 753; 536 787; 513 820
74; 79 817; 104 782; 139 806; 114 842
75; 99 804; 99 767; 154 767; 154 804
76; 947 795; 985 787; 995 835; 957 843
77; 763 841; 797 803; 836 838; 802 876
78; 736 818; 767 775; 799 799; 768 841
79; 822 799; 862 797; 865 844; 825 846
80; 658 822; 687 800; 720 846; 690 867
81; 232 862; 237 812; 275 816; 270 866
82; 283 827; 327 820; 333 858; 289 864
83; 263 845; 296 845; 296 869; 263 869
84; 407 878; 451 838; 476 865; 432 905
85; 27 876; 76 839; 98 869; 49 906
86; 244 898; 246 862; 295 864; 293 901
87; 927 879; 977 855; 995 892; 945 916
88; 657 921; 682 871; 713 887; 688 937
89; 589 909; 632 866; 662 895; 618 939
90; 390 941; 406 881; 449 893; 433 952
91; 771 900; 808 898; 810 929; 773 931
92; 829 907; 863 906; 865 961; 831 962
93; 704 914; 738 908; 747 962; 713 967
94; 566 966; 582 920; 627 935; 612 981
95; 773 927; 817 927; 817 994; 773 994
96; 149 964; 180 917; 220 943; 188 990
97; 192 998; 219 942; 254 959; 228 1015
98; 732 961; 779 961; 779 1010; 732 1010
99; 543 1007; 558 957; 596 969; 581 1019
100; 398 1008; 417 973; 466 999; 446 1035
