0; 313 36; 332 17; 356 40; 336 60
1; 331 13; 352 -5; 376 22; 355 40
2; 918 6; 939 -6; 957 25; 935 37
3; 32 54; 52 42; 72 77; 52 89
4; 45 43; 56 19; 86 32; 75 56
5; 518 48; 528 27; 557 41; 547 63
6; 578 50; 593 32; 619 53; 604 71
7; 421 68; 421 45; 453 45; 453 68
8; 409 26; 448 18; 454 45; 415 53
9; 876 47; 898 47; 898 83; 876 83
10; 811 49; 833 39; 847 69; 825 79
11; 356 53; 385 53; 385 89; 356 89
12; 156 94; 166 72; 195 84; 186 107
13; 887 107; 892 83; 926 89; 921 114
14; 589 102; 604 82; 631 102; 617 122
15; 546 119; 556 96; 588 111; 577 133
16; 864 102; 895 102; 895 135; 864 135
17; 235 121; 260 121; 260 153; 235 153
18; 136 138; 154 118; 178 139; 161 159
19; 876 155; 887 132; 918 147; 908 169
20; 614 155; 644 141; 656 166; 626 180
21; 114 165; 130 144; 156 163; 141 185
22; 186 166; 203 149; 226 172; 209 189
23; 771 177; 789 159; 812 182; 794 200
24; 657 165; 690 165; 690 196; 657 196
25; 624 199; 633 174; 665 186; 656 211
26; 487 183; 511 183; 511 215; 487 215
27; 197 210; 210 189; 241 209; 228 230
28; 157 240; 162 210; 195 216; 189 246
29; 161 212; 168 185; 202 194; 195 221
30; 33 241; 55 228; 71 257; 49 269
31; 138 255; 158 238; 178 263; 158 280
32; 864 259; 881 242; 904 265; 887 282
33; 341 250; 364 243; 376 279; 353 286
34; 387 285; 390 250; 414 252; 412 287
35; 759 279; 778 264; 798 290; 778 304
36; 1006 312; 1006 264; 1025 264; 1025 312
37; 985 308; 993 265; 1012 268; 1005 312
38; 629 304; 639 281; 669 294; 659 317
39; 351 292; 370 277; 392 307; 373 321
40; 709 303; 723 283; 750 302; 735 322
41; 0 312; 19 297; 39 323; 19 338
42; 368 356; 381 334; 410 351; 397 373
43; 720 378; 733 357; 762 374; 749 395
44; 953 384; 964 361; 995 377; 983 399
45; 819 412; 829 389; 863 404; 853 427
46; 857 411; 877 397; 897 427; 877 440
47; 530 412; 553 412; 553 445; 530 445
48; 248 421; 270 414; 280 444; 258 452
49; 100 438; 112 418; 139 434; 128 454
50; 566 438; 580 418; 606 437; 593 456
51; 758 434; 774 416; 799 438; 783 456
52; 695 444; 712 427; 736 450; 718 468
53; 885 440; 917 440; 917 463; 885 463
54; 785 473; 819 468; 823 493; 789 497
55; 551 484; 569 466; 593 489; 574 508
56; 1001 489; 1026 489; 1026 521; 1001 521
57; 521 525; 535 504; 563 523; 549 544
58; 918 528; 952 528; 952 551; 918 551
59; -3 555; 25 524; 44 542; 16 572
60; -3 553; -3 494; 23 494; 23 553
61; 862 536; 896 536; 896 562; 862 562
62; 114 562; 132 546; 155 571; 137 587
63; 893 550; 925 550; 925 581; 893 581
64; 290 580; 300 557; 330 569; 321 592
65; 46 589; 61 570; 87 590; 72 609
66; 877 606; 885 582; 918 592; 911 616
67; 769 597; 790 583; 809 611; 788 625
68; 286 612; 319 603; 326 626; 294 636
69; 702 609; 735 609; 735 635; 702 635
70; 897 631; 908 609; 941 626; 930 648
71; 452 641; 465 619; 495 636; 483 658
72; 88 652; 119 652; 119 676; 88 676
73; 648 658; 671 651; 680 683; 656 690
74; 520 664; 552 664; 552 688; 520 688
75; 20 690; 37 670; 62 693; 45 712
76; 826 694; 841 674; 872 697; 857 717
77; 57 690; 82 677; 97 707; 72 720
78; 437 720; 448 697; 479 713; 468 736
79; 575 739; 593 722; 617 746; 599 763
80; 950 746; 960 723; 992 736; 982 759
81; 549 773; 567 756; 591 781; 572 798
82; 801 799; 815 779; 844 800; 830 820
83; 497 804; 510 783; 540 803; 527 823
84; 155 814; 168 793; 199 812; 187 833
85; 188 824; 206 809; 229 837; 211 852
86; 527 842; 532 818; 564 825; 559 849
87; 225 856; 243 849; 256 886; 238 892
88; 237 840; 253 829; 281 868; 265 880
89; 238 873; 248 855; 288 875; 279 893
90; 266 841; 282 825; 316 859; 300 875
91; 255 836; 267 827; 295 868; 283 877
92; 315 793; 343 793; 343 834; 315 834
93; 293 781; 320 781; 320 829; 293 829
94; 275 808; 286 798; 326 839; 315 849
95; 263 819; 277 805; 316 845; 302 859
96; 787 846; 799 824; 829 840; 817 862
97; 827 848; 847 829; 870 852; 850 871
98; 816 858; 848 858; 848 889; 816 889
99; 512 897; 513 878; 557 880; 556 899
100; 102 879; 133 879; 133 903; 102 903
101; 157 915; 170 895; 197 913; 184 933
102; 81 900; 112 900; 112 929; 81 929
103; 233 922; 250 905; 274 928; 257 945
104; 979 941; 990 919; 1020 934; 1009 956
105; 100 953; 112 932; 141 950; 128 970
106; 140 944; 159 930; 179 956; 159 970
107; 432 944; 464 944; 464 973; 432 973
108; 617 971; 623 947; 655 955; 649 979
109; 664 964; 696 964; 696 992; 664 992
110; 433 987; 452 969; 475 995; 456 1012
111; 0 995; 32 995; 32 1024; 0 1024
112; 659 992; 691 992; 691 1023; 659 1023
