0; 179 -1; 202 -1; 202 31; 179 31
1; 275 -1; 296 -1; 296 22; 275 22
2; 414 11; 434 1; 449 31; 429 41
3; 570 26; 573 3; 605 8; 602 31
4; 831 -1; 855 -1; 855 20; 831 20
5; 609 41; 611 11; 631 12; 629 42
6; 761 29; 786 28; 787 44; 762 46
7; 740 14; 740 -2; 796 -2; 796 14
8; 739 35; 739 8; 769 8; 769 35
9; 785 12; 814 12; 814 42; 785 42
10; 110 40; 130 33; 140 62; 120 69
11; 74 35; 90 6; 129 27; 113 56
12; 89 13; 100 -9; 138 12; 127 34
13; 45 13; 58 -8; 95 14; 82 36
14; 538 30; 549 7; 578 20; 567 43
15; 471 33; 480 12; 509 25; 501 45
16; 314 23; 344 23; 344 42; 314 42
17; 141 48; 141 22; 173 22; 173 48
18; 130 24; 130 -1; 155 -1; 155 24
19; 918 18; 939 12; 948 46; 927 52
20; 659 31; 689 31; 689 58; 659 58
21; 972 59; 992 34; 1007 47; 987 71
22; 404 61; 420 49; 442 76; 427 89
23; 375 31; 376 -2; 396 -1; 395 32
24; 371 81; 373 57; 399 60; 397 83
25; 396 32; 421 31; 422 62; 397 63
26; 369 30; 399 29; 400 63; 371 64
27; 439 46; 468 33; 477 52; 447 65
28; 204 71; 208 40; 228 43; 225 73
29; 630 46; 649 46; 649 78; 630 78
30; 774 71; 774 42; 799 42; 799 71
31; 82 49; 102 49; 102 80; 82 80
32; 140 51; 162 50; 164 84; 142 85
33; 699 71; 730 46; 743 62; 712 87
34; 234 56; 264 56; 264 75; 234 75
35; 35 65; 59 65; 59 90; 35 90
36; 166 73; 195 56; 206 74; 177 91
37; 279 65; 296 57; 310 85; 293 93
38; 877 77; 900 55; 914 69; 892 92
39; 605 63; 630 63; 630 93; 605 93
40; 795 89; 801 65; 830 72; 824 96
41; 819 77; 819 52; 848 52; 848 77
42; 552 68; 576 68; 576 98; 552 98
43; 514 77; 544 77; 544 97; 514 97
44; 577 77; 599 77; 599 108; 577 108
45; 961 101; 965 77; 998 83; 994 107
46; 681 88; 712 81; 718 105; 687 112
47; 661 90; 662 62; 690 63; 689 91
48; 648 110; 648 87; 687 87; 687 110
49; 0 108; 24 108; 24 145; 0 145
50; -10 63; 13 55; 33 109; 10 117
51; 843 89; 867 89; 867 121; 843 121
52; 103 116; 104 93; 137 95; 135 118
53; 102 96; 103 68; 134 69; 133 97
54; 194 93; 225 93; 225 113; 194 113
55; 260 91; 288 91; 288 112; 260 112
56; 48 89; 76 89; 76 118; 48 118
57; 134 105; 167 101; 169 124; 136 128
58; 734 130; 734 97; 759 97; 759 130
59; 744 83; 775 81; 776 96; 745 99
60; 324 132; 338 103; 359 113; 344 142
61; 965 128; 986 103; 1006 119; 984 145
62; 561 108; 585 108; 585 143; 561 143
63; 673 130; 680 109; 712 119; 706 140
64; 76 130; 105 117; 114 137; 85 150
65; 626 124; 657 124; 657 147; 626 147
66; 23 133; 58 128; 60 151; 25 155
67; 405 132; 430 132; 430 163; 405 163
68; 58 134; 81 129; 88 159; 65 165
69; 371 142; 402 131; 408 150; 378 161
70; 168 158; 168 125; 193 125; 193 158
71; 192 136; 226 136; 226 157; 192 157
72; 472 138; 489 128; 506 156; 488 166
73; 590 145; 621 128; 631 147; 600 164
74; 869 148; 883 132; 907 152; 893 169
75; 295 143; 325 143; 325 163; 295 163
76; 224 147; 241 135; 260 163; 242 174
77; 111 149; 137 149; 137 178; 111 178
78; 438 143; 460 143; 460 175; 438 175
79; 1 152; 37 152; 37 176; 1 176
80; 133 167; 148 152; 172 177; 158 191
81; 698 181; 709 150; 729 157; 718 188
82; 949 188; 952 156; 980 158; 977 191
83; 342 162; 363 152; 378 183; 356 193
84; 36 163; 69 163; 69 184; 36 184
85; 195 164; 225 164; 225 185; 195 185
86; 726 190; 739 163; 760 173; 746 201
87; 973 174; 1005 169; 1008 191; 976 196
88; 1006 168; 1024 168; 1024 234; 1006 234
89; 795 161; 812 151; 831 181; 814 191
90; 819 168; 847 166; 849 204; 821 205
91; 829 167; 836 146; 867 158; 859 179
92; 302 174; 325 174; 325 205; 302 205
93; 531 181; 565 178; 567 200; 533 203
94; 372 180; 403 180; 403 201; 372 201
95; 930 190; 956 181; 967 213; 940 221
96; 565 194; 594 183; 603 207; 574 218
97; 849 192; 871 192; 871 223; 849 223
98; 324 193; 356 188; 359 213; 327 218
99; 901 195; 933 195; 933 216; 901 216
100; 123 213; 134 197; 162 216; 151 232
