0; 13 0; 43 0; 43 29; 13 29
1; 574 22; 584 0; 617 14; 608 37
2; 827 7; 860 7; 860 34; 827 34
3; 711 23; 744 23; 744 47; 711 47
4; 59 32; 94 32; 94 57; 59 57
5; 1001 44; 1026 44; 1026 77; 1001 77
6; 763 54; 795 54; 795 80; 763 80
7; 655 89; 687 89; 687 114; 655 114
8; 819 91; 852 91; 852 116; 819 116
9; 778 109; 810 109; 810 133; 778 133
10; 715 157; 715 130; 749 130; 749 157
11; 716 132; 716 107; 749 107; 749 132
12; 317 120; 349 110; 356 133; 325 143
13; 664 124; 694 109; 706 134; 676 149
14; 970 131; 1001 118; 1010 140; 978 152
15; 387 139; 421 139; 421 162; 387 162
16; 599 141; 631 141; 631 164; 599 164
17; 961 150; 993 150; 993 178; 961 178
18; 245 176; 252 153; 287 165; 279 188
19; 696 168; 718 158; 731 189; 708 198
20; 528 180; 542 160; 568 179; 554 199
21; 839 198; 871 198; 871 224; 839 224
22; 798 198; 814 181; 845 210; 829 227
23; 619 218; 641 192; 659 208; 637 233
24; 76 219; 88 197; 118 215; 105 236
25; 124 219; 146 202; 167 231; 145 248
26; 146 203; 167 188; 186 216; 166 231
27; 911 228; 944 228; 944 253; 911 253
28; 522 250; 560 246; 562 270; 524 274
29; 99 265; 121 236; 140 251; 119 279
30; 885 246; 915 246; 915 277; 885 277
31; 140 255; 174 255; 174 278; 140 278
32; 485 261; 521 261; 521 284; 485 284
33; 309 268; 330 257; 345 285; 324 296
34; 274 279; 295 268; 310 298; 288 309
35; 174 275; 205 275; 205 300; 174 300
36; 27 308; 41 288; 71 310; 57 330
37; 726 295; 755 295; 755 342; 726 342
38; 775 317; 779 293; 810 299; 805 323
39; 581 331; 586 310; 623 319; 618 340
40; 628 332; 635 310; 671 322; 664 344
41; 394 339; 398 314; 428 319; 424 344
42; 230 336; 253 313; 273 332; 250 355
43; 745 336; 769 336; 769 358; 745 358
44; 264 342; 296 342; 296 365; 264 365
45; 155 349; 187 349; 187 374; 155 374
46; 641 353; 673 353; 673 378; 641 378
47; 604 377; 624 358; 647 383; 627 402
48; 241 392; 266 370; 282 388; 257 410
49; 954 380; 978 380; 978 414; 954 414
50; 435 387; 471 387; 471 410; 435 410
51; 72 384; 100 384; 100 415; 72 415
52; 745 414; 768 391; 785 407; 761 431
53; 401 420; 411 389; 438 398; 428 429
54; 162 409; 182 397; 199 425; 179 437
55; 36 419; 60 396; 76 412; 53 436
56; 382 393; 406 393; 406 429; 382 429
57; 548 441; 575 422; 588 441; 561 460
58; 761 436; 790 423; 800 445; 771 458
59; 208 430; 231 423; 240 452; 217 459
60; 282 460; 291 439; 328 456; 318 476
61; 241 444; 261 433; 281 466; 260 478
62; 940 465; 960 438; 980 452; 959 479
63; 595 449; 627 449; 627 470; 595 470
64; 643 464; 663 451; 681 480; 661 492
65; 182 477; 207 450; 225 466; 200 493
66; 319 482; 336 465; 360 490; 344 506
67; 266 474; 297 474; 297 497; 266 497
68; 690 484; 707 467; 731 491; 714 508
69; 785 502; 808 478; 826 496; 802 519
70; 481 502; 505 494; 516 526; 492 534
71; 664 517; 676 494; 705 508; 693 531
72; 10 525; 31 512; 49 542; 28 554
73; 716 529; 743 529; 743 556; 716 556
74; 221 554; 231 532; 263 548; 252 569
75; 448 548; 471 529; 486 547; 462 566
76; 260 565; 284 543; 300 561; 276 583
77; 756 573; 774 544; 795 557; 778 586
78; 615 554; 648 554; 648 577; 615 577
79; 675 549; 702 549; 702 582; 675 582
80; 487 587; 510 558; 530 574; 507 603
81; 576 609; 587 587; 618 603; 607 625
82; 756 597; 784 597; 784 620; 756 620
83; 239 618; 257 591; 277 605; 259 632
84; 963 603; 995 603; 995 627; 963 627
85; 807 635; 824 600; 845 611; 828 646
86; 489 603; 512 595; 524 631; 502 639
87; 321 630; 330 606; 365 620; 355 643
88; 406 652; 420 630; 449 650; 435 672
89; -6 657; 2 634; 38 646; 30 669
90; 743 642; 777 642; 777 667; 743 667
91; 310 665; 332 651; 351 681; 328 695
92; 327 650; 348 635; 371 666; 350 681
93; 103 658; 120 641; 145 666; 128 683
94; 783 664; 807 656; 817 688; 794 696
95; 417 687; 432 665; 460 685; 445 707
96; 592 683; 625 683; 625 707; 592 707
97; 366 695; 399 695; 399 719; 366 719
98; 628 705; 645 688; 670 713; 653 730
99; 569 695; 595 695; 595 727; 569 727
100; 466 703; 497 703; 497 728; 466 728
101; 421 703; 454 703; 454 729; 421 729
102; 521 725; 542 700; 560 716; 538 741
103; 323 729; 347 707; 363 724; 339 747
104; 680 725; 712 725; 712 748; 680 748
105; 638 729; 669 729; 669 756; 638 756
106; 790 740; 823 740; 823 765; 790 765
107; 57 743; 78 730; 96 759; 75 772
108; 719 761; 736 743; 761 768; 743 785
109; 285 779; 307 768; 323 799; 301 810
110; 885 795; 908 772; 925 789; 902 812
111; 339 785; 370 785; 370 810; 339 810
112; 754 786; 785 786; 785 809; 754 809
113; 967 792; 1000 792; 1000 815; 967 815
114; 424 814; 440 785; 460 796; 444 825
115; 88 813; 110 788; 129 804; 107 829
116; 211 816; 235 792; 251 809; 228 832
117; 641 823; 669 803; 683 823; 656 843
118; 353 810; 385 810; 385 840; 353 840
119; 523 813; 556 813; 556 838; 523 838
120; 800 824; 815 804; 842 826; 828 845
121; 695 822; 715 805; 738 833; 718 849
122; 364 865; 368 839; 403 845; 399 871
123; 690 847; 721 847; 721 872; 690 872
124; 832 853; 855 842; 870 873; 847 884
125; 732 859; 751 844; 774 875; 754 889
126; 74 887; 101 862; 119 881; 92 906
127; 582 900; 587 875; 620 881; 615 907
128; 294 910; 298 885; 332 891; 328 916
129; 541 915; 570 896; 584 917; 555 936
130; 969 926; 994 902; 1011 919; 987 944
131; 153 911; 186 911; 186 944; 153 944
132; 847 930; 874 906; 891 926; 864 949
133; 89 924; 123 912; 131 937; 97 948
134; 149 942; 183 942; 183 971; 149 971
135; 980 983; 987 957; 1022 967; 1015 993
136; 531 986; 550 968; 573 995; 554 1012
137; 134 982; 152 982; 152 1004; 134 1004
138; 494 1002; 502 978; 535 988; 527 1013
139; 461 985; 497 985; 497 1010; 461 1010
140; 61 988; 99 988; 99 1022; 61 1022
141; 436 998; 463 998; 463 1024; 436 1024
