0; 925 57; 925 24; 972 24; 972 57
1; 959 233; 1006 226; 1011 260; 964 267
2; 668 234; 711 234; 711 278; 668 278
3; 840 262; 880 234; 899 262; 859 289
4; 655 280; 708 280; 708 313; 655 313
5; 195 349; 212 304; 244 317; 227 361
6; 704 334; 751 317; 763 349; 716 366
7; 669 355; 698 344; 716 389; 687 401
8; 737 372; 786 372; 786 405; 737 405
9; 778 407; 827 399; 832 433; 784 441
10; 218 450; 250 448; 254 501; 222 503
11; 468 468; 516 468; 516 502; 468 502
12; 262 523; 311 521; 312 555; 263 557
13; 330 573; 378 559; 388 590; 339 605
14; 24 612; 51 595; 80 638; 53 655
15; 1 576; 29 557; 57 600; 29 619
16; 378 592; 429 592; 429 625; 378 625
17; 608 656; 610 624; 659 626; 657 658
18; 329 666; 354 625; 381 641; 356 682
19; 83 636; 102 636; 102 659; 83 659
20; 681 656; 714 653; 719 700; 686 704
21; 863 694; 864 665; 910 666; 910 696
22; 53 677; 100 677; 100 708; 53 708
23; 776 702; 807 675; 824 694; 793 721
24; 278 754; 325 754; 325 786; 278 786
25; 786 840; 830 840; 830 882; 786 882
26; 881 899; 902 851; 935 865; 914 913
27; 173 928; 182 895; 217 904; 209 937
28; 167 934; 202 928; 212 990; 177 996
