0; 328 -4; 379 -4; 379 25; 328 25
1; 433 29; 457 -13; 486 3; 462 45
2; 968 63; 986 17; 1015 28; 997 74
3; 843 71; 889 53; 901 84; 856 102
4; 398 115; 421 93; 456 128; 434 151
5; 453 162; 486 127; 511 151; 478 186
6; 251 186; 295 154; 313 180; 270 212
7; 991 173; 1026 173; 1026 221; 991 221
8; 300 256; 346 238; 358 269; 313 287
9; 913 294; 917 262; 965 267; 961 298
10; 714 303; 741 267; 768 287; 741 324
11; 235 320; 262 278; 288 295; 261 337
12; 369 329; 394 287; 423 304; 398 346
13; 184 365; 212 328; 237 347; 210 384
14; 160 344; 190 306; 215 326; 186 364
15; 787 368; 814 330; 840 349; 813 387
16; -11 342; 7 331; 31 372; 12 382
17; 671 387; 697 346; 724 363; 698 404
18; 274 460; 312 419; 335 441; 298 482
19; 356 455; 375 408; 405 419; 387 467
20; 819 470; 837 428; 866 440; 847 483
21; 107 475; 145 441; 169 468; 131 502
22; 900 497; 904 467; 953 473; 949 503
23; 113 512; 153 475; 178 502; 138 539
24; 395 530; 430 495; 453 519; 418 554
25; 83 517; 117 504; 134 550; 100 562
26; 912 544; 921 515; 966 528; 958 557
27; 693 604; 697 556; 729 558; 725 606
28; 395 593; 428 560; 450 582; 417 615
29; 851 611; 874 566; 906 583; 883 627
30; 79 597; 105 584; 127 627; 100 640
31; 894 604; 940 584; 953 613; 907 634
32; 682 608; 726 605; 728 637; 684 640
33; 485 616; 502 612; 511 648; 494 653
34; 717 640; 763 620; 777 652; 731 672
35; 819 627; 863 617; 874 664; 831 675
36; 771 649; 798 635; 821 681; 794 695
37; 812 700; 839 675; 860 698; 832 722
38; 841 664; 881 654; 893 703; 853 713
39; 373 695; 377 664; 424 670; 420 701
40; 541 709; 568 667; 594 683; 568 726
41; -2 702; 30 702; 30 741; -2 741
42; 746 733; 789 701; 807 725; 764 757
43; 219 760; 233 711; 267 721; 253 769
44; 627 738; 656 725; 676 768; 647 781
45; 193 786; 227 750; 251 773; 218 809
46; 241 790; 272 748; 301 769; 270 812
47; 315 802; 331 776; 373 802; 357 828
48; 924 818; 959 780; 982 801; 947 839
49; 882 803; 912 785; 936 824; 906 842
50; 238 825; 257 796; 298 822; 279 852
51; 849 805; 880 798; 890 844; 860 852
52; 794 897; 814 871; 852 901; 832 927
53; 219 938; 252 905; 281 935; 248 968
54; 897 953; 930 912; 956 932; 923 973
55; 236 1020; 255 982; 283 997; 263 1035
56; 234 968; 261 945; 297 987; 270 1010
57; 480 996; 528 996; 528 1024; 480 1024
